,name,links,year,type,char
169000,Ashariri.. O..!,https://www.kinopoisk.ru/film/1181700/,2018,film,"[[{'name': 'Ashariri.. O..! (2018)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2018', '/lists/movies/year--2018/?b=films&b=top']]}, {'Страна': [['Индия', '/lists/movies/country--29/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Rudranath Banerjee', '/name/5292579/']]}, {'Сценарий': [['Reshmi Bhattacharya Banerjee', '/name/5292580/'], ['Rudranath Banerjee', '/name/5292579/'], ['Biswajit Sen', '/name/5292581/']]}, {'Продюсер': [['Haranath Banerjee', '/name/5292583/']]}, {'Оператор': [['Debasish Roy', '/name/5292585/']]}, {'Композитор': '—'}, {'Монтаж': [['Дипак Мондал', '/name/4391623/']]}, {'Премьера в мире': [['1 июля 2018', '/film/1181700/dates/']]}, {'Время': '—'}], [{'actor_name': 'Sudipta Chakraborty', 'link': '/name/5292582/'}, {'actor_name': 'Барун Чанда', 'link': '/name/709844/'}, {'actor_name': 'Кальян Чаудхари', 'link': '/name/975771/'}], ['none', 'none', 'none']]"
169001,Crackdown,https://www.kinopoisk.ru/film/1197045/,2018,film,"[[{'name': 'Crackdown (2018)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2018', '/lists/movies/year--2018/?b=films&b=top']]}, {'Страна': [['Великобритания', '/lists/movies/country--11/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top'], ['комедия', '/lists/movies/genre--comedy/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Jeannie Fong', '/name/5349635/']]}, {'Сценарий': [['Jacob Devir', '/name/5349636/']]}, {'Продюсер': [['Anthony Underwood', '/name/5349640/'], ['Тревор Пул', '/name/4539500/']]}, {'Оператор': [['Grace Hardy', '/name/5349643/']]}, {'Композитор': [['Daniel Osborne', '/name/5349641/'], ['Luke Turner', '/name/5349642/']]}, {'Монтаж': [['Jeannie Fong', '/name/5349635/']]}, {'Время': '12 мин.'}], [{'actor_name': 'Клер Луиз Амиас', 'link': '/name/1086697/'}, {'actor_name': 'Азан Ахмед', 'link': '/name/5349638/'}, {'actor_name': 'Kaitlin A Feeney', 'link': '/name/4790913/'}, {'actor_name': 'Harry Jepheart', 'link': '/name/5349637/'}, {'actor_name': 'Barney Nunn', 'link': '/name/5349639/'}], ['none', 'none', 'none']]"
169002,Риелтор,https://www.kinopoisk.ru/film/1305776/,2018,film,"[[{'name': 'Риелтор (2018)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2018', '/lists/movies/year--2018/?b=films&b=top']]}, {'Страна': [['Киргизия', '/lists/movies/country--86/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['триллер', '/lists/movies/genre--thriller/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Кымбат Адылбекова', '/name/5688413/']]}, {'Сценарий': [['Кымбат Адылбекова', '/name/5688413/']]}, {'Продюсер': [['Cholpon Idrisova', '/name/3697252/']]}, {'Композитор': [['Michael Kharitonov', '/name/5794498/']]}, {'Художник': [['Толгобек Койчуманов', '/name/6413513/']]}, {'Монтаж': [['Alena Koneva', '/name/5794499/']]}, {'Время': '—'}], [{'actor_name': 'Farida Arabekova', 'link': '/name/5794497/'}, {'actor_name': 'Перизат Эрманбетова', 'link': '/name/4747919/'}], ['none', 'none', 'none']]"
169003,Il Complottista,https://www.kinopoisk.ru/film/1288814/,2018,film,"[[{'name': 'Il Complottista (2018)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2018', '/lists/movies/year--2018/?b=films&b=top']]}, {'Страна': [['Италия', '/lists/movies/country--14/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['комедия', '/lists/movies/genre--comedy/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Antonella Spatti', '/name/5723986/']]}, {'Сценарий': [['Luca Jankovic', '/name/5163696/'], ['Antonella Spatti', '/name/5723986/'], ['Gabriele Guariso', '/name/5302661/'], ['...', '/film/1288814/cast/who_is/writer/']]}, {'Продюсер': [['Luca Jankovic', '/name/5163696/'], ['Нико Маласпина', '/name/4446762/'], ['Antonella Spatti', '/name/5723986/']]}, {'Оператор': [['Davide Artusi', '/name/3370765/']]}, {'Композитор': [['Luca la Morgia', '/name/5723987/']]}, {'Монтаж': [['Giampaolo Tatta', '/name/4446773/']]}, {'Премьера в мире': [['12 июля 2018', '/film/1288814/dates/']]}, {'Время': '15 мин.'}], [{'actor_name': 'Ivan Senin', 'link': '/name/3604020/'}], ['none', 'none', 'none']]"
169004,Images of Absence,https://www.kinopoisk.ru/film/1181030/,2018,film,"[[{'name': 'Images of Absence (2018)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2018', '/lists/movies/year--2018/?b=films&b=top']]}, {'Страна': [['Великобритания', '/lists/movies/country--11/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Günel Gadirova', '/name/4944136/']]}, {'Сценарий': [['Günel Gadirova', '/name/4944136/']]}, {'Продюсер': [['Ophélie Bocca', '/name/5290311/'], ['Jacopo Rosso Ciufoli', '/name/5030507/']]}, {'Оператор': [['Antoine Billon', '/name/5290312/']]}, {'Композитор': '—'}, {'Художник': [['Paul Melvin', '/name/5290314/']]}, {'Монтаж': [['Katherine Walters', '/name/5290313/']]}, {'Время': '12 мин.'}], [{'actor_name': 'Bryan', 'link': '/name/5290309/'}, {'actor_name': 'Наташа Холл', 'link': '/name/3033705/'}, {'actor_name': 'Eleonora Cucciarelli', 'link': '/name/2699980/'}, {'actor_name': 'Hannah Lawrence', 'link': '/name/5290310/'}, {'actor_name': 'Катрин МакДонаф', 'link': '/name/1470903/'}, {'actor_name': 'Simon Stache', 'link': '/name/4205252/'}, {'actor_name': 'Роб Стэнли', 'link': '/name/383757/'}, {'actor_name': 'Ник Так', 'link': '/name/4749914/'}], ['none', 'none', 'none']]"
169005,35 Hz,https://www.kinopoisk.ru/film/1288813/,2018,film,"[[{'name': '35 Hz (2018)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2018', '/lists/movies/year--2018/?b=films&b=top']]}, {'Страна': [['Италия', '/lists/movies/country--14/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Нико Маласпина', '/name/4446762/']]}, {'Сценарий': [['Нико Маласпина', '/name/4446762/'], ['Orazio Malfa', '/name/5723984/'], ['Gabriele Guariso', '/name/5302661/'], ['...', '/film/1288813/cast/who_is/writer/']]}, {'Продюсер': '—'}, {'Оператор': [['Davide Artusi', '/name/3370765/']]}, {'Композитор': [['Ferdinando Arno', '/name/5723985/']]}, {'Монтаж': [['Giampaolo Tatta', '/name/4446773/']]}, {'Премьера в мире': [['4 июля 2018', '/film/1288813/dates/']]}, {'Время': '9 мин.'}], [{'actor_name': 'Erica Del Bianco', 'link': '/name/3435924/'}], ['none', 'none', 'none']]"
169006,Last Thoughts of an Elevated Killer,https://www.kinopoisk.ru/film/1390204/,2018,film,"[[{'name': 'Last Thoughts of an Elevated Killer (2018)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2018', '/lists/movies/year--2018/?b=films&b=top']]}, {'Страна': [['Швеция', '/lists/movies/country--5/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['детектив', '/lists/movies/genre--mystery/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Johan Karlsson', '/name/2740742/']]}, {'Сценарий': [['Йохан Карлссон', '/name/887204/']]}, {'Продюсер': [['Йохан Карлссон', '/name/887204/'], ['Marko Kattilakoski', '/name/2740743/']]}, {'Композитор': [['Ronny Rasmusson', '/name/4515629/']]}, {'Монтаж': [['Johan Karlsson', '/name/2740742/']]}, {'Время': '7 мин.'}], [{'actor_name': 'Marko Kattilakoski', 'link': '/name/2740743/'}], ['none', 'none', 'none']]"
169007,Laws of Motion,https://www.kinopoisk.ru/film/1234717/,2018,film,"[[{'name': 'Laws of Motion (2018)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2018', '/lists/movies/year--2018/?b=films&b=top']]}, {'Страна': [['Индия', '/lists/movies/country--29/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['триллер', '/lists/movies/genre--thriller/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Subodh Kumar Patra', '/name/5495644/']]}, {'Сценарий': [['Subodh Kumar Patra', '/name/5495644/']]}, {'Продюсер': '—'}, {'Оператор': [['Abhishek Rai', '/name/5495647/']]}, {'Композитор': [['Abhishek Kumar', '/name/5358020/']]}, {'Монтаж': [['Shivam Shankar', '/name/5495657/']]}, {'Премьера в мире': [['15 июня 2018', '/film/1234717/dates/']]}, {'Время': '—'}], [{'actor_name': 'Shashwat Dwivedi', 'link': '/name/5495643/'}], ['none', 'none', 'none']]"
169008,Hankaar,https://www.kinopoisk.ru/series/1181652/,2018,series,"[[{'name': 'Hankaar (сериал 2018)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2018', '/lists/movies/year--2018/?b=series&b=top'], ['1 сезон', '/film/1181652/episodes/']]}, {'Страна': [['Индия', '/lists/movies/country--29/?b=series&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=series&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Sanjay Bhatia', '/name/5292513/'], ['Yogi Chopra', '/name/5292514/'], ['Ravi Iyer', '/name/5292515/']]}, {'Сценарий': [['Ваибхав Баджпаи', '/name/4190159/'], ['Yogi Chopra', '/name/5292514/'], ['Sumit Nagaria', '/name/5292516/'], ['...', '/film/1181652/cast/who_is/writer/']]}, {'Продюсер': [['Yogi Chopra', '/name/5292514/'], ['Ravi Iyer', '/name/5292515/'], ['Ashima Khanna', '/name/5292520/'], ['...', '/film/1181652/cast/who_is/producer/']]}, {'Оператор': [['Kaushal Kshirsagar', '/name/5292522/']]}, {'Композитор': [['Gautam Keswani', '/name/5292521/']]}, {'Монтаж': [['Аншул Джоши', '/name/4746328/']]}, {'Премьера в мире': [['26 июля 2018', '/film/1181652/dates/']]}, {'Время': '—'}], [{'actor_name': 'Раджеш Балвани', 'link': '/name/504728/'}, {'actor_name': 'Уджвал Чопра', 'link': '/name/1499825/'}, {'actor_name': 'Yogini Chouk', 'link': '/name/3418159/'}, {'actor_name': 'Ram Menon', 'link': '/name/5292518/'}, {'actor_name': 'Шахнаваз Прадхан', 'link': '/name/2942471/'}, {'actor_name': 'Prammod Sanghi', 'link': '/name/4938568/'}, {'actor_name': 'Sharda Nand Singh', 'link': '/name/4358866/'}, {'actor_name': 'Drishti Grewal', 'link': '/name/5078705/'}, {'actor_name': 'Kamil Shaikh', 'link': '/name/3640443/'}, {'actor_name': 'Санджай Гурбаксани', 'link': '/name/3361883/'}], ['none', 'none', 'none']]"
169009,The Pendants of Destiny,https://www.kinopoisk.ru/series/1181277/,2018,series,"[[{'name': 'The Pendants of Destiny (мини–сериал 2018)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2018', '/lists/movies/year--2018/?b=series&b=top'], ['1 сезон', '/film/1181277/episodes/']]}, {'Страна': [['Великобритания', '/lists/movies/country--11/?b=series&b=top']]}, {'Жанр': [['боевик', '/lists/movies/genre--action/?b=series&b=top'], ['слова', '/film/1181277/keywords/']]}, {'Слоган': '—'}, {'Режиссер': [['Lewis Carter', '/name/3794451/']]}, {'Сценарий': [['Lewis Carter', '/name/3794451/']]}, {'Продюсер': [['Lewis Carter', '/name/3794451/']]}, {'Оператор': [['Thomas A. Jackson', '/name/4454747/']]}, {'Композитор': [['George Stackhouse', '/name/4454749/']]}, {'Монтаж': [['Lewis Carter', '/name/3794451/']]}, {'Премьера в мире': [['8 сентября 2018', '/film/1181277/dates/']]}, {'Время': '—'}], [{'actor_name': 'Lewis Carter', 'link': '/name/3794451/'}, {'actor_name': 'Liam Smith', 'link': '/name/5291958/'}, {'actor_name': 'Маной Ананд', 'link': '/name/3155867/'}, {'actor_name': 'Мелвин Роулинсон', 'link': '/name/276241/'}, {'actor_name': 'Tom Hendryk', 'link': '/name/4362006/'}, {'actor_name': 'Harry Rowland', 'link': '/name/5290685/'}, {'actor_name': 'Edward Nicol', 'link': '/name/5291959/'}, {'actor_name': 'Henry Nicol', 'link': '/name/5291960/'}, {'actor_name': 'Thomas A. Jackson', 'link': '/name/4454747/'}], ['none', 'none', 'none']]"
