,name,links,year,type,char
222000,Ignite Wrestling Presents No Limits,https://www.kinopoisk.ru/film/4508158/,2019,film,"[[{'name': 'Ignite Wrestling Presents No Limits (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['спорт', '/lists/movies/genre--sport/?b=films&b=top'], ['слова', '/film/4508158/keywords/']]}, {'Слоган': '—'}, {'Режиссер': [['Kim Artlip', '/name/6250423/']]}, {'Сценарий': '—'}, {'Продюсер': [['Kim Artlip', '/name/6250423/']]}, {'Оператор': [['Eric Spring', '/name/6250435/']]}, {'Композитор': '—'}, {'Премьера в мире': [['19 сентября 2019', '/film/4508158/dates/']]}, {'Время': '27 мин.'}], [{'actor_name': 'Julie Dilbert', 'link': '/name/6250425/'}, {'actor_name': 'Carlos Gabriel', 'link': '/name/6488059/'}, {'actor_name': 'Matt Graifer', 'link': '/name/6250427/'}, {'actor_name': 'Kody Kastle', 'link': '/name/6488046/'}, {'actor_name': 'Ken Ray', 'link': '/name/6250431/'}, {'actor_name': 'Tony Stabile', 'link': '/name/6250433/'}, {'actor_name': 'Эндрю Траск', 'link': '/name/1230345/'}, {'actor_name': 'Omar Vences', 'link': '/name/6406980/'}, {'actor_name': 'Gabriel Zimmerly', 'link': '/name/6406965/'}], ['none', 'none', 'none']]"
222001,Subject 17,https://www.kinopoisk.ru/film/1440501/,2019,film,"[[{'name': 'Subject 17 (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['фантастика', '/lists/movies/genre--sci-fi/?b=films&b=top'], ['слова', '/film/1440501/keywords/']]}, {'Слоган': '—'}, {'Режиссер': [['Adrienne Civetti', '/name/6253193/'], ['Brooks Gray', '/name/5293846/']]}, {'Сценарий': [['Brooks Gray', '/name/5293846/']]}, {'Продюсер': '—'}, {'Композитор': '—'}, {'Монтаж': [['Brooks Gray', '/name/5293846/']]}, {'Премьера в мире': [['15 мая 2019', '/film/1440501/dates/']]}, {'Время': '15 мин.'}], [{'actor_name': 'Джой Джонс', 'link': '/name/4667790/'}, {'actor_name': 'Пенни Николс', 'link': '/name/146744/'}, {'actor_name': 'Yumiko Siegfried', 'link': '/name/5756591/'}, {'actor_name': 'Кристина ДиНиколо', 'link': '/name/2938326/'}], ['none', 'none', 'none']]"
222002,Waiting Game,https://www.kinopoisk.ru/film/1437580/,2019,film,"[[{'name': 'Waiting Game (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Уилл Кадди', '/name/1699141/'], ['Zach Feiner', '/name/4443559/']]}, {'Сценарий': [['Hannah Stoddard', '/name/3199138/']]}, {'Продюсер': [['Tabitha Coen', '/name/6246549/']]}, {'Оператор': [['Нэйтан Колтрейн', '/name/2818857/']]}, {'Композитор': '—'}, {'Художник': [['Hannah Stoddard', '/name/3199138/']]}, {'Монтаж': [['Michael Coen', '/name/6246550/'], ['Уилл Кадди', '/name/1699141/'], ['Zach Feiner', '/name/4443559/']]}, {'Время': '—'}], [{'actor_name': 'Джессика Барр', 'link': '/name/3766972/'}, {'actor_name': 'Сэмюэл Саммер', 'link': '/name/2928198/'}], ['none', 'none', 'none']]"
222003,Asli,https://www.kinopoisk.ru/film/4832114/,2019,film,"[[{'name': 'Asli (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['ОАЭ', '/lists/movies/country--119/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['комедия', '/lists/movies/genre--comedy/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Mansour Ahmed', '/name/6704146/']]}, {'Сценарий': [['Mansour Ahmed', '/name/6704146/']]}, {'Продюсер': [['Mansour Ahmed', '/name/6704146/'], ['Алисия Гонсалес Морено', '/name/2967996/'], ['Oksana Shumylo', '/name/4962753/']]}, {'Оператор': [['Jordan-Lee Garbutt', '/name/6704152/']]}, {'Композитор': '—'}, {'Монтаж': [['Tony Ruthnam', '/name/6299164/']]}, {'Время': '10 мин.'}], [{'actor_name': 'Suhaib Abdullah', 'link': '/name/5438294/'}, {'actor_name': 'Abdulla Al-Hemairi', 'link': '/name/6704149/'}, {'actor_name': 'Yaser Al-Neyadi', 'link': '/name/5967188/'}, {'actor_name': 'Houda AlGhanem', 'link': '/name/6704150/'}, {'actor_name': 'Ahmed Bin Huwaiden Al Ketbi', 'link': '/name/6703924/'}, {'actor_name': 'Abdul Nasser Al Tamimi', 'link': '/name/6704151/'}], ['none', 'none', 'none']]"
222004,O Embrolho,https://www.kinopoisk.ru/film/1436446/,2019,film,"[[{'name': 'O Embrolho (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Бразилия', '/lists/movies/country--10/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['комедия', '/lists/movies/genre--comedy/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Roobertchay Rocha', '/name/6245267/']]}, {'Сценарий': '—'}, {'Продюсер': '—'}, {'Композитор': [['André Luiz Machado', '/name/5772768/']]}, {'Премьера в мире': [['28 февраля 2019', '/film/1436446/dates/']]}, {'Время': '—'}], [{'actor_name': 'Daya Laryssa', 'link': '/name/6245268/'}, {'actor_name': 'Эд Оливейра', 'link': '/name/748741/'}, {'actor_name': 'Тонику Перейра', 'link': '/name/108831/'}], ['none', 'none', 'none']]"
222005,In the Shadows,https://www.kinopoisk.ru/film/5197859/,2019,film,"[[{'name': 'In the Shadows (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['ОАЭ', '/lists/movies/country--119/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Mildred Garcerant', '/name/7044121/']]}, {'Сценарий': [['Mildred Garcerant', '/name/7044121/']]}, {'Продюсер': [['Mildred Garcerant', '/name/7044121/'], ['Алисия Гонсалес Морено', '/name/2967996/']]}, {'Оператор': [['Rizwan Khan', '/name/7044123/']]}, {'Композитор': '—'}, {'Монтаж': [['Tony Ruthnam', '/name/6299164/'], ['Majid Sarhaddi', '/name/6217052/']]}, {'Премьера в мире': [['15 декабря 2019', '/film/5197859/dates/'], ['...', '/film/5197859/dates/']]}, {'Время': '10 мин.'}], [{'actor_name': 'Robert Cristian Trif', 'link': '/name/4802125/'}], ['none', 'none', 'none']]"
222006,About the Fire on Rabbi Nissim Street,https://www.kinopoisk.ru/film/4827084/,2019,film,"[[{'name': 'About the Fire on Rabbi Nissim Street (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Израиль', '/lists/movies/country--42/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Matan Galin', '/name/6702196/']]}, {'Сценарий': [['Matan Galin', '/name/6702196/']]}, {'Продюсер': [['Sagit Duvdevani', '/name/6702197/']]}, {'Оператор': [['Idan Attar', '/name/6702198/']]}, {'Композитор': [['Eyal Arad', '/name/5951182/']]}, {'Монтаж': [['Shauly Melamed', '/name/6698753/']]}, {'Время': '10 мин.'}], [{'actor_name': 'Omri David', 'link': '/name/4869748/'}, {'actor_name': 'Manor Hakak', 'link': '/name/6253597/'}], ['none', 'none', 'none']]"
222007,Krass Abschlussklasse,https://www.kinopoisk.ru/series/1437922/,2019,series,"[[{'name': 'Krass Abschlussklasse (сериал 2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=series&b=top'], ['1 сезон', '/film/1437922/episodes/']]}, {'Страна': [['Германия', '/lists/movies/country--3/?b=series&b=top']]}, {'Жанр': [['мелодрама', '/lists/movies/genre--romance/?b=series&b=top'], ['слова', '/film/1437922/keywords/']]}, {'Слоган': '—'}, {'Режиссер': [['Patrick Hammerschmidt', '/name/2477699/']]}, {'Сценарий': '—'}, {'Продюсер': [['Markus Johne', '/name/6247807/'], ['Axel Kühn', '/name/6247808/']]}, {'Композитор': '—'}, {'Премьера в мире': [['17 июня 2019', '/film/1437922/dates/']]}, {'Время': '45 мин'}], [{'actor_name': 'Roman Büder', 'link': '/name/4778155/'}, {'actor_name': 'Алексан Джетинкая', 'link': '/name/3084294/'}, {'actor_name': 'Yvonne Ernicke', 'link': '/name/5322689/'}, {'actor_name': 'Lean Fargel', 'link': '/name/4283729/'}, {'actor_name': 'Fabian Kondziolka', 'link': '/name/1585912/'}, {'actor_name': 'Dilan Odabas', 'link': '/name/6247804/'}, {'actor_name': 'Кинга Поллак', 'link': '/name/4219508/'}, {'actor_name': 'Nora Charlotte Schilling', 'link': '/name/5390118/'}, {'actor_name': 'Джоэле Виола', 'link': '/name/4164897/'}, {'actor_name': 'Julie Weber', 'link': '/name/5726860/'}], ['none', 'none', 'none']]"
222008,Acetaminophen,https://www.kinopoisk.ru/film/4496508/,2019,film,"[[{'name': 'Acetaminophen (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['комедия', '/lists/movies/genre--comedy/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Larissa Crafford-Lazarus', '/name/6190778/']]}, {'Сценарий': [['Larissa Crafford-Lazarus', '/name/6190778/']]}, {'Продюсер': '—'}, {'Оператор': [['Gabriel Frye-Behar', '/name/1755790/']]}, {'Композитор': '—'}, {'Премьера в мире': [['5 мая 2019', '/film/4496508/dates/']]}, {'Время': '9 мин.'}], [{'actor_name': 'Peter Emanuel Arndt', 'link': '/name/6467564/'}, {'actor_name': 'Larissa Crafford-Lazarus', 'link': '/name/6190778/'}, {'actor_name': 'Миранда Сэвадж', 'link': '/name/1944403/'}], ['none', 'none', 'none']]"
222009,The Temple,https://www.kinopoisk.ru/film/1441442/,2019,film,"[[{'name': 'The Temple (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Турция', '/lists/movies/country--68/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Murat Ugurlu', '/name/4899944/']]}, {'Сценарий': '—'}, {'Продюсер': [['Büke Aksehirli', '/name/5628068/'], ['Asena Bulduk', '/name/6255283/']]}, {'Оператор': [['Akin Cetin', '/name/3378543/']]}, {'Композитор': '—'}, {'Художник': [['Биллур Туран', '/name/3234794/']]}, {'Монтаж': [['Adil Yanik', '/name/4700642/']]}, {'Время': '—'}], [{'actor_name': 'Inci Akgün', 'link': '/name/5207134/'}, {'actor_name': 'Чигдем Аигюн', 'link': '/name/4750544/'}, {'actor_name': 'Эрол Бабаоглу', 'link': '/name/520704/'}, {'actor_name': 'Феридун Кок', 'link': '/name/464697/'}, {'actor_name': 'Kaan Mestut', 'link': '/name/6255282/'}], ['none', 'none', 'none']]"
