,name,links,year,type,char
212000,Tough Love Therapy,https://www.kinopoisk.ru/film/1311963/,2019,film,"[[{'name': 'Tough Love Therapy (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Канада', '/lists/movies/country--6/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['триллер', '/lists/movies/genre--thriller/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Михай Сабадош', '/name/279113/']]}, {'Сценарий': [['Балаж Коош', '/name/3450/']]}, {'Продюсер': [['Балаж Коош', '/name/3450/'], ['Михай Сабадош', '/name/279113/']]}, {'Оператор': [['Михай Сабадош', '/name/279113/']]}, {'Композитор': [['Золтан Крулик', '/name/1475974/']]}, {'Монтаж': [['Михай Сабадош', '/name/279113/']]}, {'Премьера в мире': [['11 октября 2019', '/film/1311963/dates/']]}, {'Время': '—'}], [{'actor_name': 'Балаж Коош', 'link': '/name/3450/'}, {'actor_name': 'Михай Сабадош', 'link': '/name/279113/'}], ['none', 'none', 'none']]"
212001,O pantanal e outros bichos,https://www.kinopoisk.ru/series/1316452/,2019,series,"[[{'name': 'O pantanal e outros bichos (сериал 2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=series&b=top'], ['1 сезон', '/film/1316452/episodes/']]}, {'Страна': [['Бразилия', '/lists/movies/country--10/?b=series&b=top']]}, {'Жанр': '—'}, {'Слоган': '—'}, {'Режиссер': [['Amauri Tangará', '/name/1160678/']]}, {'Сценарий': '—'}, {'Продюсер': '—'}, {'Композитор': '—'}, {'Премьера в мире': [['19 августа 2019', '/film/1316452/dates/']]}, {'Время': '—'}], [{'actor_name': 'Роберто Бонфим', 'link': '/name/321939/'}, {'actor_name': 'Ademir Gudrim', 'link': '/name/5837606/'}, {'actor_name': 'Jeferson Jarcem', 'link': '/name/5837607/'}, {'actor_name': 'Wanderson Lana', 'link': '/name/5837608/'}, {'actor_name': 'Ana Maria Lopes', 'link': '/name/5837609/'}, {'actor_name': 'Rafaela Salomao', 'link': '/name/5837594/'}, {'actor_name': 'Ísis Samuel', 'link': '/name/5837610/'}, {'actor_name': 'Thaisa Soares', 'link': '/name/5837611/'}, {'actor_name': 'João Pedro Souza', 'link': '/name/5837612/'}], ['none', 'none', 'none']]"
212002,Little Brother,https://www.kinopoisk.ru/film/1313476/,2019,film,"[[{'name': 'Little Brother (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['фантастика', '/lists/movies/genre--sci-fi/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Джастин Р. Дурбан', '/name/622176/']]}, {'Сценарий': [['Джастин Р. Дурбан', '/name/622176/']]}, {'Продюсер': [['Джастин Р. Дурбан', '/name/622176/']]}, {'Оператор': [['Джастин Р. Дурбан', '/name/622176/'], ['Hunter Gustafson', '/name/4429961/'], ['Jennifer Kendall', '/name/4596753/']]}, {'Композитор': [['Джастин Р. Дурбан', '/name/622176/']]}, {'Монтаж': [['Carlo J. Barbieri III', '/name/3054941/'], ['Джастин Р. Дурбан', '/name/622176/']]}, {'Премьера в мире': [['11 октября 2019', '/film/1313476/dates/']]}, {'Время': '8 мин.'}], [{'actor_name': 'Katusha Robert', 'link': '/name/4561773/'}, {'actor_name': 'Jake Brinn', 'link': '/name/5827167/'}, {'actor_name': 'Lyrik Durban', 'link': '/name/5827168/'}, {'actor_name': 'Myndin William Durban', 'link': '/name/5291406/'}, {'actor_name': 'Jennifer Kendall', 'link': '/name/4596753/'}, {'actor_name': 'Betty Currie', 'link': '/name/5291407/'}, {'actor_name': 'Brett St. Germain', 'link': '/name/5827169/'}, {'actor_name': 'Chris Conner', 'link': '/name/5827170/'}], ['none', 'none', 'none']]"
212003,Fomo,https://www.kinopoisk.ru/film/1326036/,2019,film,"[[{'name': 'Fomo (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['комедия', '/lists/movies/genre--comedy/?b=films&b=top'], ['музыка', '/lists/movies/genre--music/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Harrison Kraft', '/name/5631611/']]}, {'Сценарий': [['Harrison Kraft', '/name/5631611/']]}, {'Продюсер': [['Charles Storck', '/name/5872225/'], ['Peter Kleinhans', '/name/5871696/']]}, {'Оператор': [['Harrison Kraft', '/name/5631611/']]}, {'Композитор': [['Peter Kleinhans', '/name/5871696/']]}, {'Художник': [['Nicole Smith', '/name/5631612/'], ['Harrison Kraft', '/name/5631611/']]}, {'Монтаж': [['Harrison Kraft', '/name/5631611/']]}, {'Премьера в мире': [['12 октября 2019', '/film/1326036/dates/']]}, {'Время': '—'}], [{'actor_name': 'Peter Kleinhans', 'link': '/name/5871696/'}, {'actor_name': 'Emily Glaser', 'link': '/name/5872221/'}, {'actor_name': 'Michael Kraft', 'link': '/name/5872222/'}, {'actor_name': 'Brandon Leventhal', 'link': '/name/5872223/'}, {'actor_name': 'Gianni Vaughan', 'link': '/name/5872224/'}], ['none', 'none', 'none']]"
212004,A Gentle Man,https://www.kinopoisk.ru/film/1451092/,2019,film,"[[{'name': 'A Gentle Man (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Австралия', '/lists/movies/country--25/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Harrison Slattery', '/name/6248070/']]}, {'Сценарий': [['Andy Slattery', '/name/6283217/']]}, {'Продюсер': [['Andy Slattery', '/name/6283217/'], ['Harrison Slattery', '/name/6248070/']]}, {'Оператор': [['Harrison Slattery', '/name/6248070/']]}, {'Композитор': '—'}, {'Монтаж': [['Harrison Slattery', '/name/6248070/']]}, {'Премьера в мире': [['7 мая 2019', '/film/1451092/dates/']]}, {'Время': '5 мин.'}], [{'actor_name': 'Josh Hamilton', 'link': '/name/6283485/'}, {'actor_name': 'Jacinda Hawkins', 'link': '/name/6283486/'}, {'actor_name': 'Lilly Hawkins', 'link': '/name/6283487/'}, {'actor_name': 'Andy Slattery', 'link': '/name/6283217/'}], ['none', 'none', 'none']]"
212005,It's Not for You (Film B),https://www.kinopoisk.ru/film/1311914/,2019,film,"[[{'name': ""It's Not for You (Film B) (2019)"", 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['комедия', '/lists/movies/genre--comedy/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Кларк Барклай', '/name/1199364/']]}, {'Сценарий': [['Priya Garcia', '/name/5822460/']]}, {'Продюсер': [['Alan Call', '/name/4439809/'], ['Rickerby Hinds', '/name/4797230/'], ['Стью Кригер', '/name/103275/']]}, {'Оператор': [['Дин Канди', '/name/101732/']]}, {'Композитор': [['Christiaan Clark', '/name/5822476/']]}, {'Художник': [['Josh Stephenson', '/name/5901371/'], ['Elizabeth Flores', '/name/5822480/'], ['Kerry Jones', '/name/3532208/'], ['...', '/film/1311914/cast/who_is/design/']]}, {'Монтаж': [['Xingyi Jiang', '/name/5822477/'], ['Chelsea Ramirez', '/name/5822478/'], ['Andreas Riojas', '/name/5822566/'], ['...', '/film/1311914/cast/who_is/editor/']]}, {'Премьера в мире': [['26 апреля 2019', '/film/1311914/dates/']]}, {'Время': '—'}], [{'actor_name': 'Amelia Anijelo', 'link': '/name/5822461/'}, {'actor_name': 'Gwen Benitez', 'link': '/name/5822462/'}, {'actor_name': 'Aaron Chapple', 'link': '/name/5822463/'}, {'actor_name': 'Hannah Croft', 'link': '/name/5822464/'}, {'actor_name': 'Leah Duque', 'link': '/name/5822466/'}, {'actor_name': 'Carlos Gutierrez', 'link': '/name/5822467/'}, {'actor_name': 'Dallas Harden', 'link': '/name/3869170/'}, {'actor_name': 'Christopher Henley', 'link': '/name/5822468/'}, {'actor_name': 'Ollie Holley', 'link': '/name/5822469/'}, {'actor_name': 'Kerry Jones', 'link': '/name/3532208/'}], ['none', 'none', 'none']]"
212006,My American Dream,https://www.kinopoisk.ru/film/1318493/,2019,film,"[[{'name': 'My American Dream (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Fritz Frauendorf', '/name/5618118/']]}, {'Сценарий': [['Lincoln Fu', '/name/5102642/']]}, {'Продюсер': [['Xuewei Yang', '/name/4267286/'], ['Gal Yefet', '/name/5396489/'], ['Lincoln Fu', '/name/5102642/'], ['...', '/film/1318493/cast/who_is/producer/']]}, {'Композитор': '—'}, {'Монтаж': [['Lincoln Fu', '/name/5102642/']]}, {'Премьера в мире': [['2 ноября 2019', '/film/1318493/dates/']]}, {'Время': '—'}], [{'actor_name': 'Lincoln Fu', 'link': '/name/5102642/'}, {'actor_name': 'Noba Bayarsaikhan', 'link': '/name/5843356/'}, {'actor_name': 'Heidi Luo', 'link': '/name/5331488/'}], ['none', 'none', 'none']]"
212007,Samuel,https://www.kinopoisk.ru/film/1313732/,2019,film,"[[{'name': 'Samuel (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Венгрия', '/lists/movies/country--49/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Ramon Zagoto', '/name/5829010/']]}, {'Сценарий': [['Ramon Zagoto', '/name/5829010/']]}, {'Продюсер': [['Патриция Д’Интино', '/name/4306068/'], ['Юдит Ромвальтер', '/name/1769938/'], ['Richy Romwalter', '/name/3230975/']]}, {'Оператор': [['Ramon Zagoto', '/name/5829010/']]}, {'Композитор': [['Hua-Chun Fan', '/name/5829015/']]}, {'Художник': [['Bernadett Redenczki', '/name/5829016/']]}, {'Монтаж': [['Ramon Zagoto', '/name/5829010/']]}, {'Время': '9 мин.'}], [{'actor_name': 'Bruno Madeiros', 'link': '/name/5829011/'}, {'actor_name': 'Vanessa Lima', 'link': '/name/5829012/'}, {'actor_name': 'Gery Riba', 'link': '/name/5085652/'}, {'actor_name': 'Gábor Sorok', 'link': '/name/5829013/'}, {'actor_name': 'Tamás Lantos', 'link': '/name/5829014/'}, {'actor_name': 'Дьёрдь Палош', 'link': '/name/486915/'}, {'actor_name': 'Orsolya Balogh', 'link': '/name/4913590/'}], ['none', 'none', 'none']]"
212008,The Casting,https://www.kinopoisk.ru/film/1381267/,2019,film,"[[{'name': 'The Casting (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['ужасы', '/lists/movies/genre--horror/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Дэна Булос', '/name/2460127/']]}, {'Сценарий': [['Дэна Булос', '/name/2460127/']]}, {'Продюсер': '—'}, {'Оператор': [['Anderson Ko', '/name/6091680/']]}, {'Композитор': [['Ник Зиннер', '/name/1506860/']]}, {'Монтаж': [['Jacob Weiss', '/name/5825429/']]}, {'Премьера в мире': [['29 октября 2019', '/film/1381267/dates/']]}, {'Время': '—'}], [{'actor_name': 'Карина Фонтес', 'link': '/name/4324231/'}], ['none', 'none', 'none']]"
212009,Trinity Traveler,https://www.kinopoisk.ru/film/1315355/,2019,film,"[[{'name': 'Trinity Traveler (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Индонезия', '/lists/movies/country--73/?b=films&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=films&b=top'], ['мелодрама', '/lists/movies/genre--romance/?b=films&b=top'], ['приключения', '/lists/movies/genre--adventure/?b=films&b=top'], ['слова', '/film/1315355/keywords/']]}, {'Слоган': '—'}, {'Режиссер': [['Ризал Мантовани', '/name/735026/']]}, {'Сценарий': [['Рахаби Мандра', '/name/3726090/'], ['Piu Syarif', '/name/4329523/'], ['Trinity', '/name/5833722/']]}, {'Продюсер': [['Чанд Парвез Сервиа', '/name/692873/'], ['Фиаз Сервиа', '/name/1452220/'], ['Iwan S. Djasmoro', '/name/5833727/'], ['...', '/film/1315355/cast/who_is/producer/']]}, {'Оператор': [['Yadi Sugandi', '/name/636064/']]}, {'Композитор': [['Андхика Трияди', '/name/2913164/']]}, {'Художник': [['Ананта Харшавардхана', '/name/5301491/']]}, {'Монтаж': [['Ryan Purwoko', '/name/2641921/']]}, {'Премьера в мире': [['28 ноября 2019', '/film/1315355/dates/']]}, {'Время': '97 мин. / 01:37'}], [{'actor_name': 'Мауди Аюнда', 'link': '/name/2248574/'}, {'actor_name': 'Hamish Daud', 'link': '/name/3763915/'}, {'actor_name': 'Рэйчел Аманда', 'link': '/name/1446452/'}, {'actor_name': 'Anggika Bolsterli', 'link': '/name/4642318/'}, {'actor_name': 'Babe Cabita', 'link': '/name/4183809/'}, {'actor_name': 'Чут Мини Тео', 'link': '/name/553039/'}, {'actor_name': 'Muhammad Farhan', 'link': '/name/4230967/'}, {'actor_name': 'Аю Дьюи', 'link': '/name/1736380/'}, {'actor_name': 'Dayu Wijanto', 'link': '/name/4017275/'}, {'actor_name': 'Melanie Ricardo', 'link': '/name/2562055/'}], ['none', 'none', 'none']]"
