,name,links,year,type,char
207000,"The pain, your storm",https://www.kinopoisk.ru/film/4692526/,2019,film,"[[{'name': 'The pain, your storm (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Нигерия', '/lists/movies/country--110/?b=films&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=films&b=top'], ['слова', '/film/4692526/keywords/']]}, {'Слоган': '—'}, {'Режиссер': [['Okechukwu Oku', '/name/4263747/']]}, {'Сценарий': '—'}, {'Продюсер': '—'}, {'Оператор': [['Okechukwu Oku', '/name/4263747/']]}, {'Композитор': '—'}, {'Монтаж': [['Okechukwu Oku', '/name/4263747/']]}, {'Время': '—'}], [{'actor_name': 'Frankinsense-Eche Ben', 'link': '/name/4865524/'}, {'actor_name': 'Lilly Stan Igboanugo', 'link': '/name/5631480/'}, {'actor_name': 'Ebube Nwagbo', 'link': '/name/1318793/'}, {'actor_name': 'Stan Nze', 'link': '/name/4439976/'}], ['none', 'none', 'none']]"
207001,Pakistan Star,https://www.kinopoisk.ru/series/1289815/,2019,series,"[[{'name': 'Pakistan Star (сериал 2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=series&b=top']]}, {'Страна': [['Пакистан', '/lists/movies/country--74/?b=series&b=top']]}, {'Жанр': [['реальное ТВ', '/lists/movies/genre--reality-tv/?b=series&b=top'], ['музыка', '/lists/movies/genre--music/?b=series&b=top'], ['слова', '/film/1289815/keywords/']]}, {'Слоган': '—'}, {'Режиссер': '—'}, {'Сценарий': '—'}, {'Продюсер': '—'}, {'Композитор': '—'}, {'Премьера в мире': [['5 июня 2019', '/film/1289815/dates/']]}, {'Время': '50 мин'}], [{'actor_name': 'Хамза Аббаси', 'link': '/name/2605298/'}, {'actor_name': 'Umair Jaswal', 'link': '/name/3782513/'}, {'actor_name': 'Kubra Khan', 'link': '/name/3739632/'}, {'actor_name': 'Вина Малик', 'link': '/name/478683/'}, {'actor_name': 'Джавед Шейх', 'link': '/name/478678/'}], ['none', 'none', 'none']]"
207002,Breaking Up,https://www.kinopoisk.ru/film/1296541/,2019,film,"[[{'name': 'Breaking Up (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': '—'}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Терри МакМахон', '/name/15077/']]}, {'Сценарий': [['Марк МакКоли', '/name/1089425/']]}, {'Продюсер': [['Марк МакКоли', '/name/1089425/']]}, {'Оператор': [['Joseph Ingersoll', '/name/5928189/']]}, {'Композитор': '—'}, {'Монтаж': [['Джефф Дойл', '/name/1898524/']]}, {'Время': '5 мин.'}], [{'actor_name': 'Лиза Тиррелл', 'link': '/name/2881426/'}, {'actor_name': 'Марк МакКоли', 'link': '/name/1089425/'}], ['none', 'none', 'none']]"
207003,Tê Dieb! Ma Que Rai' é Iste?,https://www.kinopoisk.ru/series/1318267/,2019,series,"[[{'name': ""Tê Dieb! Ma Que Rai' é Iste? (сериал 2019)"", 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=series&b=top'], ['1 сезон', '/film/1318267/episodes/']]}, {'Страна': [['Португалия', '/lists/movies/country--36/?b=series&b=top']]}, {'Жанр': [['комедия', '/lists/movies/genre--comedy/?b=series&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Joel Filipe Duarte', '/name/4123338/'], ['Silvia Reis', '/name/5842702/']]}, {'Сценарий': [['Joel Filipe Duarte', '/name/4123338/'], ['Carmen Conduto', '/name/5843535/'], ['Márcia Duarte', '/name/5843536/'], ['...', '/film/1318267/cast/who_is/writer/']]}, {'Продюсер': [['Joel Filipe Duarte', '/name/4123338/'], ['Silvia Reis', '/name/5842702/'], ['Luis Duarte', '/name/5842701/'], ['...', '/film/1318267/cast/who_is/producer/']]}, {'Оператор': [['Joel Filipe Duarte', '/name/4123338/'], ['António Narciso', '/name/4852651/'], ['Joca Ruela Soares', '/name/4852652/']]}, {'Композитор': '—'}, {'Монтаж': [['Joel Filipe Duarte', '/name/4123338/']]}, {'Премьера в мире': [['1 марта 2019', '/film/1318267/dates/']]}, {'Время': '—'}], [{'actor_name': 'Joel Filipe Duarte', 'link': '/name/4123338/'}, {'actor_name': 'David Silva', 'link': '/name/5840789/'}, {'actor_name': 'Carolina Maio', 'link': '/name/5843537/'}, {'actor_name': 'Paulo Maio', 'link': '/name/5843538/'}, {'actor_name': 'Carmen Conduto', 'link': '/name/5843535/'}, {'actor_name': 'Fábio Miguel', 'link': '/name/4854910/'}, {'actor_name': 'Bruno Sebastião', 'link': '/name/5840776/'}, {'actor_name': 'Silvia Reis', 'link': '/name/5842702/'}, {'actor_name': 'Tânia Silva', 'link': '/name/5842708/'}, {'actor_name': 'Luis Duarte', 'link': '/name/5842701/'}], ['none', 'none', 'none']]"
207004,Ofuobi,https://www.kinopoisk.ru/film/1433958/,2019,film,"[[{'name': 'Ofuobi (ТВ, 2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Нигерия', '/lists/movies/country--110/?b=films&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': '—'}, {'Сценарий': '—'}, {'Продюсер': '—'}, {'Оператор': [['Ikem Chio', '/name/6238159/']]}, {'Композитор': '—'}, {'Монтаж': [['Ikem Chio', '/name/6238159/']]}, {'Премьера в мире': [['14 апреля 2019', '/film/1433958/dates/']]}, {'Время': '—'}], [{'actor_name': 'Jidekene Achufusi', 'link': '/name/6218883/'}, {'actor_name': 'Victoria Dijey', 'link': '/name/6238155/'}, {'actor_name': 'Chioma Idigo', 'link': '/name/6228825/'}, {'actor_name': 'Swanky J.K.A.', 'link': '/name/4887309/'}, {'actor_name': 'Stanley Nweze', 'link': '/name/6238156/'}, {'actor_name': 'Jessica Tony', 'link': '/name/6238157/'}], ['none', 'none', 'none']]"
207005,Woof,https://www.kinopoisk.ru/film/1288096/,2019,film,"[[{'name': 'Woof (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Nathan Chang', '/name/4552224/']]}, {'Сценарий': [['Майкл Беван', '/name/2502004/']]}, {'Продюсер': [['Maria Bruzhayte', '/name/4882568/']]}, {'Композитор': '—'}, {'Монтаж': [['Nathan Chang', '/name/4552224/']]}, {'Премьера в мире': [['22 июля 2019', '/film/1288096/dates/']]}, {'Время': '11 мин.'}], [{'actor_name': 'Майкл Беван', 'link': '/name/2502004/'}, {'actor_name': 'Гибран Салим', 'link': '/name/3412419/'}, {'actor_name': 'Mercedes Flores', 'link': '/name/5722113/'}, {'actor_name': 'Джеймс Уирт', 'link': '/name/725909/'}], ['none', 'none', 'none']]"
207006,Tente entender o que tento dizer,https://www.kinopoisk.ru/film/1345008/,2019,film,"[[{'name': 'Tente entender o que tento dizer (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Бразилия', '/lists/movies/country--10/?b=films&b=top']]}, {'Жанр': [['документальный', '/lists/movies/genre--documentary/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Emilia Silveira', '/name/3483872/']]}, {'Сценарий': [['Miguel Paiva', '/name/5960388/']]}, {'Продюсер': [['Люсиана Боаль-Марино', '/name/121909/'], ['Daniel de Souza', '/name/5960389/'], ['Альберто Граса', '/name/429088/'], ['...', '/film/1345008/cast/who_is/producer/']]}, {'Оператор': [['Жак Шуиш', '/name/519221/']]}, {'Композитор': '—'}, {'Монтаж': [['Винисиус Наскрименто', '/name/3081352/']]}, {'Премьера в мире': [['4 мая 2019', '/film/1345008/dates/'], ['...', '/film/1345008/dates/']]}, {'Время': '79 мин. / 01:19'}], [], ['none', 'none', 'none']]"
207007,The Rules of a Volunteer Courier,https://www.kinopoisk.ru/film/1287682/,2019,film,"[[{'name': 'The Rules of a Volunteer Courier (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['приключения', '/lists/movies/genre--adventure/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Брэндон Фриман', '/name/1789166/']]}, {'Сценарий': [['Bry Larrea', '/name/5720903/']]}, {'Продюсер': [['Dori Boyle', '/name/5720905/'], ['Eugene Boyle', '/name/5564513/']]}, {'Оператор': [['Liam Tain', '/name/3545225/']]}, {'Композитор': '—'}, {'Монтаж': [['Adam McCoy', '/name/5720907/']]}, {'Премьера в мире': [['8 июня 2019', '/film/1287682/dates/']]}, {'Время': '6 мин.'}], [{'actor_name': 'Juliette Freeman', 'link': '/name/5688087/'}, {'actor_name': 'Dallin Larsen', 'link': '/name/5409502/'}, {'actor_name': 'Jon A. Ravenholt', 'link': '/name/3465623/'}, {'actor_name': 'Christina Lane Hawkins', 'link': '/name/5553362/'}, {'actor_name': 'Rachel Freeman', 'link': '/name/5688088/'}, {'actor_name': 'Cary Judd', 'link': '/name/4856090/'}, {'actor_name': 'Dori Boyle', 'link': '/name/5720905/'}, {'actor_name': 'Jeannie Kesling', 'link': '/name/5720906/'}], ['none', 'none', 'none']]"
207008,The Interrogation,https://www.kinopoisk.ru/film/1289825/,2019,film,"[[{'name': 'The Interrogation (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['комедия', '/lists/movies/genre--comedy/?b=films&b=top']]}, {'Слоган': '«An interrogation turns into a business pitch when two enforcers found out they are with a famous chef»'}, {'Режиссер': [['George Sayah', '/name/5236234/']]}, {'Сценарий': [['George Sayah', '/name/5236234/']]}, {'Продюсер': '—'}, {'Оператор': [['Карисса Лейхт', '/name/4466501/']]}, {'Композитор': '—'}, {'Время': '—'}], [{'actor_name': 'Джон Уайлдмен', 'link': '/name/156228/'}, {'actor_name': 'Вэнс Спаркс', 'link': '/name/2927185/'}, {'actor_name': 'Хуан Фиоль', 'link': '/name/2486694/'}], ['none', 'none', 'none']]"
207009,How to Make a Rainbow,https://www.kinopoisk.ru/film/1295490/,2019,film,"[[{'name': 'How to Make a Rainbow (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['документальный', '/lists/movies/genre--documentary/?b=films&b=top'], ['короткометражка', '/lists/movies/genre--short/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Райан Макси', '/name/1990964/']]}, {'Сценарий': '—'}, {'Продюсер': [['Jade Phoenix Martinez', '/name/5753600/'], ['Райан Макси', '/name/1990964/'], ['Kaye Breeman', '/name/3461939/'], ['...', '/film/1295490/cast/who_is/producer/']]}, {'Оператор': [['Райан Макси', '/name/1990964/']]}, {'Композитор': [['Зак Райт', '/name/4901351/']]}, {'Монтаж': [['Райан Макси', '/name/1990964/'], ['Vanessa Wells', '/name/5753601/']]}, {'Время': '16 мин.'}], [], ['none', 'none', 'none']]"
