,name,links,year,type,char
225000,Visiting Hours,https://www.kinopoisk.ru/film/4807673/,2019,film,"[[{'name': 'Visiting Hours (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Adam Randall', '/name/3535599/']]}, {'Сценарий': [['Trevor Huckabee', '/name/6683792/'], ['Adam Randall', '/name/3535599/']]}, {'Продюсер': '—'}, {'Композитор': '—'}, {'Премьера в мире': [['5 мая 2019', '/film/4807673/dates/']]}, {'Время': '11 мин.'}], [{'actor_name': 'Martin Ezelle', 'link': '/name/1717853/'}, {'actor_name': 'Trevor Huckabee', 'link': '/name/6683792/'}], ['none', 'none', 'none']]"
225001,Ricci & capricci,https://www.kinopoisk.ru/series/4747293/,2019,series,"[[{'name': 'Ricci & capricci (мини–сериал 2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=series&b=top'], ['3 сезона', '/film/4747293/episodes/']]}, {'Страна': [['Италия', '/lists/movies/country--14/?b=series&b=top']]}, {'Жанр': [['комедия', '/lists/movies/genre--comedy/?b=series&b=top'], ['слова', '/film/4747293/keywords/']]}, {'Слоган': '—'}, {'Режиссер': [['Paolo Geremei', '/name/2596601/'], ['Alessandro Scuderi', '/name/6647254/'], ['Claudio Semboloni', '/name/2247244/']]}, {'Сценарий': '—'}, {'Продюсер': [['Алессандро Карпиго', '/name/1723561/'], ['Бруно Фрустачи', '/name/1723562/']]}, {'Композитор': '—'}, {'Премьера в мире': [['20 сентября 2019', '/film/4747293/dates/']]}, {'Время': '—'}], [{'actor_name': 'Andrea Dianetti', 'link': '/name/2650458/'}, {'actor_name': 'Crisula Stafida', 'link': '/name/2276344/'}, {'actor_name': 'Эми Бергамо', 'link': '/name/1612918/'}, {'actor_name': 'Gabriele Carbotti', 'link': '/name/5510506/'}, {'actor_name': 'Марко Милано', 'link': '/name/395376/'}, {'actor_name': 'Паола Тициана Кручиани', 'link': '/name/249345/'}, {'actor_name': 'Claudio Guerrini', 'link': '/name/6647255/'}, {'actor_name': 'Дзюн Итикава', 'link': '/name/577517/'}, {'actor_name': 'Энцо Сальви', 'link': '/name/248977/'}, {'actor_name': 'Пьетро Де Силва', 'link': '/name/76304/'}], ['none', 'none', 'none']]"
225002,Home,https://www.kinopoisk.ru/film/4760432/,2019,film,"[[{'name': 'Home (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Ливан', '/lists/movies/country--97/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['ужасы', '/lists/movies/genre--horror/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Adam Jammal', '/name/6214998/']]}, {'Сценарий': [['Adam Jammal', '/name/6214998/']]}, {'Продюсер': [['Ghada Youssef', '/name/6661063/']]}, {'Оператор': [['Karim El Ali', '/name/6661463/']]}, {'Композитор': [['Karl Bou-Rjeily', '/name/6661058/']]}, {'Художник': [['Rahaf Jammal', '/name/6662311/']]}, {'Монтаж': [['Karim Fayad', '/name/6662309/'], ['Adam Jammal', '/name/6214998/']]}, {'Премьера в мире': [['23 сентября 2019', '/film/4760432/dates/']]}, {'Время': '18 мин.'}], [{'actor_name': 'Elie Choufani', 'link': '/name/4810209/'}, {'actor_name': 'Jenny Gebara', 'link': '/name/5030835/'}, {'actor_name': 'Sacha Karameh', 'link': '/name/6662305/'}, {'actor_name': 'Yara Zakhour', 'link': '/name/6662307/'}], ['none', 'none', 'none']]"
225003,Nightmare,https://www.kinopoisk.ru/film/4721085/,2019,film,"[[{'name': 'Nightmare (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Нигерия', '/lists/movies/country--110/?b=films&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': '—'}, {'Сценарий': '—'}, {'Продюсер': [['Mary Remmy', '/name/1322390/']]}, {'Композитор': '—'}, {'Премьера в мире': [['27 сентября 2019', '/film/4721085/dates/']]}, {'Время': '—'}], [{'actor_name': 'Zara Abubakar', 'link': '/name/6604167/'}, {'actor_name': 'Ayo Adesanya Hassan', 'link': '/name/805077/'}, {'actor_name': 'Saphirre Ekeng', 'link': '/name/6323360/'}, {'actor_name': 'Marilyn Etuk', 'link': '/name/6632546/'}, {'actor_name': 'Stella Idika', 'link': '/name/2486112/'}, {'actor_name': 'Mary Lazarus', 'link': '/name/4169690/'}, {'actor_name': 'Calista Nwajide', 'link': '/name/6604188/'}, {'actor_name': 'Susan Jimah Odiachi', 'link': '/name/6631904/'}, {'actor_name': 'Bolaji Ogunmola', 'link': '/name/6473882/'}, {'actor_name': 'Jude Orhorha', 'link': '/name/4654664/'}], ['none', 'none', 'none']]"
225004,Size 12,https://www.kinopoisk.ru/film/4755022/,2019,film,"[[{'name': 'Size 12 (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Нигерия', '/lists/movies/country--110/?b=films&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=films&b=top'], ['комедия', '/lists/movies/genre--comedy/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Tope Alake', '/name/4412256/']]}, {'Сценарий': [['Stanley Isokoh', '/name/4331817/'], ['Mary Lazarus', '/name/4169690/']]}, {'Продюсер': [['Mary Lazarus', '/name/4169690/']]}, {'Оператор': [['Ladipo Abiola', '/name/5224480/']]}, {'Композитор': '—'}, {'Премьера в мире': [['8 июня 2019', '/film/4755022/dates/']]}, {'Время': '95 мин. / 01:35'}], [{'actor_name': 'Uzor Arukwe', 'link': '/name/1904068/'}, {'actor_name': 'Grace Asuowo', 'link': '/name/6657519/'}, {'actor_name': 'Maryjane Bologi', 'link': '/name/6657520/'}, {'actor_name': 'Mary Lazarus', 'link': '/name/4169690/'}, {'actor_name': 'Godfrey Obhiose', 'link': '/name/6657521/'}, {'actor_name': 'Olojede Olaitan', 'link': '/name/6657522/'}, {'actor_name': 'Akinola Omolade', 'link': '/name/3644250/'}, {'actor_name': 'Blessing Simon', 'link': '/name/6473910/'}, {'actor_name': 'Eddie Watson', 'link': '/name/5694711/'}], ['none', 'none', 'none']]"
225005,Spax Enterprises,https://www.kinopoisk.ru/series/4758429/,2019,series,"[[{'name': 'Spax Enterprises (мини–сериал 2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=series&b=top'], ['1 сезон', '/film/4758429/episodes/']]}, {'Страна': [['Канада', '/lists/movies/country--6/?b=series&b=top']]}, {'Жанр': [['комедия', '/lists/movies/genre--comedy/?b=series&b=top'], ['слова', '/film/4758429/keywords/']]}, {'Слоган': '—'}, {'Режиссер': [['Spencer Seibert', '/name/6660462/']]}, {'Сценарий': [['Spencer Seibert', '/name/6660462/'], ['Justin Krawczyk', '/name/3545442/']]}, {'Продюсер': [['Spencer Seibert', '/name/6660462/']]}, {'Композитор': [['Justin Krawczyk', '/name/3545442/']]}, {'Монтаж': [['Spencer Seibert', '/name/6660462/']]}, {'Премьера в мире': [['1 января 2019', '/film/4758429/dates/']]}, {'Время': '6 мин. всего'}], [{'actor_name': 'Jack Comerford', 'link': '/name/5535609/'}, {'actor_name': 'Brendan Cox', 'link': '/name/6660464/'}, {'actor_name': 'Justin Krawczyk', 'link': '/name/3545442/'}, {'actor_name': 'Бретт Хотон', 'link': '/name/2741410/'}, {'actor_name': 'Spencer Seibert', 'link': '/name/6660462/'}, {'actor_name': 'Dylan Hausdorf', 'link': '/name/5192145/'}, {'actor_name': 'Isaac Delaney', 'link': '/name/6660466/'}, {'actor_name': 'Brendan Cox', 'link': '/name/6660467/'}], ['none', 'none', 'none']]"
225006,Arc of Infinity Smash Wars,https://www.kinopoisk.ru/series/4747332/,2019,series,"[[{'name': 'Arc of Infinity Smash Wars (сериал 2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=series&b=top'], ['1 сезон', '/film/4747332/episodes/']]}, {'Страна': [['США', '/lists/movies/country--1/?b=series&b=top']]}, {'Жанр': [['мультфильм', '/lists/movies/genre--animation/?b=series&b=top'], ['боевик', '/lists/movies/genre--action/?b=series&b=top'], ['приключения', '/lists/movies/genre--adventure/?b=series&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Alex Vasquez', '/name/6041810/']]}, {'Сценарий': [['Alex Vasquez', '/name/6041810/']]}, {'Продюсер': [['Alex Vasquez', '/name/6041810/']]}, {'Оператор': [['Alex Vasquez', '/name/6041810/']]}, {'Композитор': '—'}, {'Монтаж': [['Alex Vasquez', '/name/6041810/']]}, {'Премьера в мире': [['29 марта 2019', '/film/4747332/dates/']]}, {'Время': '—'}], [{'actor_name': 'Alex Vasquez', 'link': '/name/6041810/'}, {'actor_name': 'Marc Rafanan', 'link': '/name/5438116/'}, {'actor_name': 'Manic Wednesday', 'link': '/name/3869570/'}, {'actor_name': 'Ghostoftime1', 'link': '/name/6303379/'}, {'actor_name': 'Yuki Tsuji', 'link': '/name/4386034/'}], ['none', 'none', 'none']]"
225007,Aager Thikana,https://www.kinopoisk.ru/film/5048715/,2019,film,"[[{'name': 'Aager Thikana (2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Индия', '/lists/movies/country--29/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['триллер', '/lists/movies/genre--thriller/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Абхишек Бхаттачария', '/name/2351772/'], ['Indrashish Lahiri', '/name/6894668/']]}, {'Сценарий': [['Абхишек Бхаттачария', '/name/2351772/'], ['Indrashish Lahiri', '/name/6894668/']]}, {'Продюсер': [['Абхишек Бхаттачария', '/name/2351772/'], ['Arghyadeep Ganguly', '/name/6894671/'], ['Indrashish Lahiri', '/name/6894668/']]}, {'Оператор': [['Raj Bhaduri', '/name/6894672/']]}, {'Композитор': '—'}, {'Монтаж': [['Абхишек Бхаттачария', '/name/2351772/']]}, {'Время': '18 мин.'}], [{'actor_name': 'Arijit Das', 'link': '/name/6894669/'}, {'actor_name': 'Arpan Sengupta', 'link': '/name/6894670/'}], ['none', 'none', 'none']]"
225008,Oche's Secret,https://www.kinopoisk.ru/film/4744227/,2019,film,"[[{'name': ""Oche's Secret (2019)"", 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=films&b=top']]}, {'Страна': [['Нигерия', '/lists/movies/country--110/?b=films&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['John Njamah', '/name/1319558/']]}, {'Сценарий': [['Nduka Nwobodo', '/name/6641987/']]}, {'Продюсер': [['Chiemela Nwagboso', '/name/2103072/']]}, {'Композитор': '—'}, {'Премьера в мире': [['3 ноября 2019', '/film/4744227/dates/']]}, {'Время': '—'}], [{'actor_name': 'Chiege Alisigwe', 'link': '/name/1318672/'}, {'actor_name': 'Chika Anyanwu', 'link': '/name/805116/'}, {'actor_name': 'Chinonso Arubiyi', 'link': '/name/6559326/'}, {'actor_name': 'Ego Nworji', 'link': '/name/6641989/'}, {'actor_name': 'Junior Pope Odonwodo', 'link': '/name/3467514/'}, {'actor_name': 'Jazzy Okey', 'link': '/name/6642023/'}], ['none', 'none', 'none']]"
225009,Bela Dalil (Without Evidence),https://www.kinopoisk.ru/series/5115210/,2019,series,"[[{'name': 'Bela Dalil (Without Evidence) (сериал 2019)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2019', '/lists/movies/year--2019/?b=series&b=top']]}, {'Страна': [['Египет', '/lists/movies/country--101/?b=series&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=series&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Manal El Seify', '/name/3618355/']]}, {'Сценарий': [['Engy Alaa', '/name/5895038/']]}, {'Продюсер': [['Tamer Morsi', '/name/5099246/']]}, {'Композитор': '—'}, {'Премьера в мире': [['21 октября 2019', '/film/5115210/dates/']]}, {'Время': '40 мин'}], [{'actor_name': 'Dorra Zarrouk', 'link': '/name/194493/'}, {'actor_name': 'Халед Селим', 'link': '/name/871634/'}, {'actor_name': 'Nicolas Mouawad', 'link': '/name/2381545/'}, {'actor_name': 'Hager Al-Sharnouby', 'link': '/name/5292281/'}, {'actor_name': 'Samar Alaam', 'link': '/name/3301167/'}, {'actor_name': 'Naira Aref', 'link': '/name/5277753/'}, {'actor_name': 'Шериф Авад', 'link': '/name/5109387/'}, {'actor_name': 'Enaam El-Greetly', 'link': '/name/2793752/'}, {'actor_name': 'Samer El-Minyawi', 'link': '/name/4407461/'}, {'actor_name': 'Eslam Gamal', 'link': '/name/2874984/'}], ['none', 'none', 'none']]"
