,name,links,year,type,char
247000,The Spectre,https://www.kinopoisk.ru/film/1410027/,2020,film,"[[{'name': 'The Spectre (2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=films&b=top']]}, {'Страна': [['Австралия', '/lists/movies/country--25/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['ужасы', '/lists/movies/genre--horror/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Стивен Хаар', '/name/1846327/']]}, {'Сценарий': [['Стивен Хаар', '/name/1846327/']]}, {'Продюсер': [['Стивен Хаар', '/name/1846327/']]}, {'Оператор': [['Jose Sanchez', '/name/6195845/']]}, {'Композитор': '—'}, {'Премьера в мире': [['31 декабря 2020', '/film/1410027/dates/']]}, {'Время': '—'}], [{'actor_name': 'Стивен Хаар', 'link': '/name/1846327/'}, {'actor_name': 'Алан Смити', 'link': '/name/18959/'}], ['none', 'none', 'none']]"
247001,Ten Weeks,https://www.kinopoisk.ru/series/4430957/,2020,series,"[[{'name': 'Ten Weeks (сериал 2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=series&b=top'], ['1 сезон', '/film/4430957/episodes/']]}, {'Платформа': [['Roku Channel', 'https://www.kinopoisk.ru/lists/movies/company-originals-202/']]}, {'Страна': [['США', '/lists/movies/country--1/?b=series&b=top']]}, {'Жанр': [['документальный', '/lists/movies/genre--documentary/?b=series&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Крис Роу', '/name/2484245/']]}, {'Сценарий': '—'}, {'Продюсер': [['Джейсон Блум', '/name/10090/'], ['Дэвид Гэйл', '/name/3187/'], ['Джереми Голд', '/name/81036/'], ['...', '/film/4430957/cast/who_is/producer/']]}, {'Композитор': '—'}, {'Премьера в мире': [['2 ноября 2020', '/film/4430957/dates/'], ['...', '/film/4430957/dates/']]}, {'Цифровой релиз': [['11 ноября 2021', '/lists/movies/coming-soon-digital/'], ['«Roku Channel»', '/comingsoon/digital/company/202/']]}, {'Время': '—'}], [{'actor_name': 'Dylan Dion', 'link': '/name/4612490/'}], ['none', 'none', 'none']]"
247002,Story of Kale: When Someone's in Love,https://www.kinopoisk.ru/film/1421790/,2020,film,"[[{'name': ""Story of Kale: When Someone's in Love (2020)"", 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=films&b=top']]}, {'Страна': [['Индонезия', '/lists/movies/country--73/?b=films&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=films&b=top'], ['мелодрама', '/lists/movies/genre--romance/?b=films&b=top'], ['слова', '/film/1421790/keywords/']]}, {'Слоган': '—'}, {'Режиссер': [['Ангга Двимас Сасонгко', '/name/1561615/']]}, {'Сценарий': [['Mohammad Irfan Ramly', '/name/4058954/'], ['Ангга Двимас Сасонгко', '/name/1561615/'], ['Marcella F.P.', '/name/5999856/']]}, {'Продюсер': [['Sonny Laksamana', '/name/6214144/'], ['Taufan Adryan', '/name/6214143/'], ['Tantri Lestari', '/name/5710102/']]}, {'Оператор': [['Bagoes Tresna Aji', '/name/5709053/'], ['Ферри Русли', '/name/5458201/']]}, {'Композитор': [['Ardhito Pramono', '/name/5890553/'], ['Ofel Obaja Setiawan', '/name/5487567/']]}, {'Художник': [['Chupy Kaisuku', '/name/4573768/']]}, {'Монтаж': [['Hendra Adhi Susanto', '/name/5448695/']]}, {'Премьера в мире': [['23 октября 2020', '/film/1421790/dates/'], ['...', '/film/1421790/dates/']]}, {'Время': '77 мин. / 01:17'}], [{'actor_name': 'Ardhito Pramono', 'link': '/name/5890553/'}, {'actor_name': 'Орели Мореман', 'link': '/name/1932033/'}, {'actor_name': 'Arya Saloka Perwira', 'link': '/name/5349867/'}, {'actor_name': 'Рой Сунконо', 'link': '/name/2647279/'}, {'actor_name': 'Gilbert Pohan', 'link': '/name/6265503/'}, {'actor_name': 'Azizah Hanum', 'link': '/name/6265504/'}, {'actor_name': 'Танта Гинтин', 'link': '/name/2481750/'}, {'actor_name': 'Dwiky Al Asyam', 'link': '/name/6316972/'}], ['none', 'none', 'none']]"
247003,To telos tou ponou (Mia protasi),https://www.kinopoisk.ru/film/1421190/,2020,film,"[[{'name': 'To telos tou ponou (Mia protasi) (2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=films&b=top']]}, {'Страна': [['Греция', '/lists/movies/country--55/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['фантастика', '/lists/movies/genre--sci-fi/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Жаклин Лентзу', '/name/2790743/']]}, {'Сценарий': [['Жаклин Лентзу', '/name/2790743/']]}, {'Продюсер': [['Фения Коссовица', '/name/378560/']]}, {'Оператор': [['Konstantinos Koukoulios', '/name/3191890/']]}, {'Композитор': '—'}, {'Художник': [['Eva Goulakou', '/name/2777897/']]}, {'Монтаж': [['Smaro Papaevangelou', '/name/2991752/']]}, {'Премьера в мире': [['9 августа 2020', '/film/1421190/dates/'], ['...', '/film/1421190/dates/']]}, {'Время': '14 мин.'}], [{'actor_name': 'София Коккали', 'link': '/name/3421730/'}], ['none', 'none', 'none']]"
247004,5 Minute Action Movies,https://www.kinopoisk.ru/series/1419337/,2020,series,"[[{'name': '5 Minute Action Movies (сериал 2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=series&b=top'], ['1 сезон', '/film/1419337/episodes/']]}, {'Страна': [['США', '/lists/movies/country--1/?b=series&b=top']]}, {'Жанр': [['боевик', '/lists/movies/genre--action/?b=series&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Диллон Уилсон', '/name/2779811/'], ['Ken May', '/name/4547122/']]}, {'Сценарий': [['Диллон Уилсон', '/name/2779811/'], ['Ken May', '/name/4547122/']]}, {'Продюсер': [['Диллон Уилсон', '/name/2779811/'], ['Ken May', '/name/4547122/']]}, {'Оператор': [['Roy Shellef', '/name/6104512/'], ['Eli Sundler', '/name/6104307/'], ['Стивен Хо', '/name/1793279/']]}, {'Композитор': [['Luca Albano', '/name/6430708/'], ['Francesco Carone', '/name/6430709/']]}, {'Художник': [['Eric Gustavo', '/name/5747464/'], ['Eric Gustavo', '/name/5747464/']]}, {'Монтаж': [['Eli Sundler', '/name/6104307/'], ['Igor Antik', '/name/6430710/'], ['Ken May', '/name/4547122/']]}, {'Премьера в мире': [['15 октября 2020', '/film/1419337/dates/'], ['...', '/film/1419337/dates/']]}, {'Время': '—'}], [{'actor_name': 'Диллон Уилсон', 'link': '/name/2779811/'}, {'actor_name': 'Jason Ha', 'link': '/name/5085431/'}, {'actor_name': 'Свит П.', 'link': '/name/2396085/'}, {'actor_name': 'Hiram Caraballo', 'link': '/name/3584930/'}, {'actor_name': 'Anthony Tamayo', 'link': '/name/6208891/'}, {'actor_name': 'Deandre Garrett', 'link': '/name/6208885/'}, {'actor_name': 'Elena Rojas', 'link': '/name/3786272/'}, {'actor_name': 'Yiannis Photinos', 'link': '/name/4324841/'}, {'actor_name': 'Eric Gustavo', 'link': '/name/5747464/'}, {'actor_name': 'Joseph Olmedo', 'link': '/name/6208889/'}], ['none', 'none', 'none']]"
247005,Amours solitaires,https://www.kinopoisk.ru/series/1421492/,2020,series,"[[{'name': 'Amours solitaires (сериал 2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=series&b=top'], ['1 сезон', '/film/1421492/episodes/']]}, {'Страна': [['Франция', '/lists/movies/country--8/?b=series&b=top']]}, {'Жанр': [['мелодрама', '/lists/movies/genre--romance/?b=series&b=top']]}, {'Слоган': '—'}, {'Режиссер': '—'}, {'Сценарий': '—'}, {'Продюсер': '—'}, {'Композитор': '—'}, {'Премьера в мире': [['10 апреля 2020', '/film/1421492/dates/']]}, {'Время': '—'}], [{'actor_name': 'Адам Бесса', 'link': '/name/3155331/'}, {'actor_name': 'Sophie Mourousi', 'link': '/name/5879770/'}, {'actor_name': 'Manika Auxire', 'link': '/name/5706774/'}, {'actor_name': 'Аюми Ру', 'link': '/name/5653290/'}], ['none', 'none', 'none']]"
247006,"I Can't Breathe, Either: A History of White Supremacy",https://www.kinopoisk.ru/film/1419471/,2020,film,"[[{'name': ""I Can't Breathe, Either: A History of White Supremacy (2020)"", 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['документальный', '/lists/movies/genre--documentary/?b=films&b=top'], ['короткометражка', '/lists/movies/genre--short/?b=films&b=top']]}, {'Слоган': '«A documentary that follows systemic racism and police brutality within minority communities»'}, {'Режиссер': [['Марк Сицилиани', '/name/121396/']]}, {'Сценарий': [['Марк Сицилиани', '/name/121396/']]}, {'Продюсер': [['Марк Сицилиани', '/name/121396/'], ['Джошуа Вагнер', '/name/113092/'], ['Eric Kenyon White', '/name/6209228/']]}, {'Композитор': '—'}, {'Монтаж': [['Eric Kenyon White', '/name/6209228/']]}, {'Премьера в мире': [['11 сентября 2020', '/film/1419471/dates/']]}, {'Время': '25 мин.'}], [{'actor_name': 'Марк Сицилиани', 'link': '/name/121396/'}], ['none', 'none', 'none']]"
247007,Последнее блюдо,https://www.kinopoisk.ru/film/1411278/,2020,film,"[[{'name': 'Последнее блюдо (2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=films&b=top']]}, {'Страна': [['Австралия', '/lists/movies/country--25/?b=films&b=top']]}, {'Жанр': [['документальный', '/lists/movies/genre--documentary/?b=films&b=top'], ['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['криминал', '/lists/movies/genre--crime/?b=films&b=top']]}, {'Слоган': '«Eat. Prey. Die»'}, {'Режиссер': [['Маркус МакКензи', '/name/2452813/'], ['Дэниэл Принсип', '/name/2042892/']]}, {'Сценарий': [['Маркус МакКензи', '/name/2452813/'], ['Дэниэл Принсип', '/name/2042892/']]}, {'Продюсер': [['Маркус МакКензи', '/name/2452813/'], ['Дэниэл Принсип', '/name/2042892/'], ['Даниэль Тинкер', '/name/2256143/']]}, {'Оператор': [['Дэниэл Принсип', '/name/2042892/']]}, {'Композитор': [['Кристофер Ларкин', '/name/2110614/']]}, {'Художник': [['Brendan Homan', '/name/6993230/'], ['Natalie Homan', '/name/6993231/']]}, {'Монтаж': [['Дэниэл Принсип', '/name/2042892/']]}, {'Премьера в мире': [['19 октября 2020', '/film/1411278/dates/']]}, {'Время': '18 мин.'}], [{'actor_name': 'Хью Росс', 'link': '/name/24092/'}], ['none', 'none', 'none']]"
247008,Slim & I,https://www.kinopoisk.ru/film/1406024/,2020,film,"[[{'name': 'Slim & I (2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=films&b=top']]}, {'Страна': [['Австралия', '/lists/movies/country--25/?b=films&b=top']]}, {'Жанр': [['документальный', '/lists/movies/genre--documentary/?b=films&b=top']]}, {'Слоган': '«It takes two to create a legend»'}, {'Режиссер': [['Крив Стендерс', '/name/401129/']]}, {'Сценарий': [['Крив Стендерс', '/name/401129/']]}, {'Продюсер': [['James Arneman', '/name/6192052/'], ['Крис Браун', '/name/33389/'], ['Алин Жак', '/name/401131/'], ['...', '/film/1406024/cast/who_is/producer/']]}, {'Оператор': [['Evan Papageorgiou', '/name/1448449/']]}, {'Композитор': [['Julian Abrahams', '/name/6192054/'], ['Munro Melano', '/name/5542364/']]}, {'Монтаж': [['Каррин де Синк', '/name/1243461/']]}, {'Премьера в мире': [['10 сентября 2020', '/film/1406024/dates/'], ['...', '/film/1406024/dates/']]}, {'Время': '107 мин. / 01:47'}], [{'actor_name': 'Гленн А. Бэйкер', 'link': '/name/2130386/'}, {'actor_name': 'Troy Cassar-Daley', 'link': '/name/1589277/'}, {'actor_name': 'Bill Chambers', 'link': '/name/6192050/'}, {'actor_name': 'Каси Чэмберс', 'link': '/name/1576317/'}, {'actor_name': 'Darren Hanlon', 'link': '/name/4033537/'}, {'actor_name': 'Мисси Хиггинс', 'link': '/name/1552530/'}, {'actor_name': 'Anne Kirkpatrick', 'link': '/name/2545082/'}, {'actor_name': 'David Kirkpatrick', 'link': '/name/6152607/'}, {'actor_name': 'Joy McKean', 'link': '/name/5804192/'}, {'actor_name': 'Кит Урбан', 'link': '/name/1140291/'}], ['none', 'none', 'none']]"
247009,Please Don't Hit Me,https://www.kinopoisk.ru/film/1419659/,2020,film,"[[{'name': ""Please Don't Hit Me (2020)"", 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['слова', '/film/1419659/keywords/']]}, {'Слоган': '«Hitting can hurt for life. Please STOP and ask for help»'}, {'Режиссер': [['Джорджия Ван Кайленбёрг', '/name/1433483/']]}, {'Сценарий': [['Джорджия Ван Кайленбёрг', '/name/1433483/']]}, {'Продюсер': [['Джорджия Ван Кайленбёрг', '/name/1433483/']]}, {'Композитор': [['TwinsMusic', '/name/6209535/']]}, {'Монтаж': [['Джорджия Ван Кайленбёрг', '/name/1433483/']]}, {'Премьера в мире': [['21 июля 2020', '/film/1419659/dates/']]}, {'Время': '5 мин.'}], [{'actor_name': 'Nana Belay', 'link': '/name/6209518/'}, {'actor_name': 'Francesca Black', 'link': '/name/6191138/'}, {'actor_name': 'Isabelle Borque', 'link': '/name/6209519/'}, {'actor_name': 'Julien Carrk', 'link': '/name/6209520/'}, {'actor_name': 'Энджел Контрерас', 'link': '/name/5968522/'}, {'actor_name': 'Курт Корнелиус', 'link': '/name/246590/'}, {'actor_name': 'Сара Дж. Корнелиус', 'link': '/name/1229550/'}, {'actor_name': 'Rafael Cuahutenango', 'link': '/name/5981776/'}, {'actor_name': 'SylvieDay Delgado', 'link': '/name/6209521/'}, {'actor_name': 'Каспиан Даймент', 'link': '/name/3281964/'}], ['none', 'none', 'none']]"
