,name,links,year,type,char
243000,The Bacon Hair,https://www.kinopoisk.ru/film/4413069/,2020,film,"[[{'name': 'The Bacon Hair (2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=films&b=top']]}, {'Страна': [['Великобритания', '/lists/movies/country--11/?b=films&b=top']]}, {'Жанр': [['мультфильм', '/lists/movies/genre--animation/?b=films&b=top'], ['боевик', '/lists/movies/genre--action/?b=films&b=top'], ['триллер', '/lists/movies/genre--thriller/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top'], ['мелодрама', '/lists/movies/genre--romance/?b=films&b=top'], ['криминал', '/lists/movies/genre--crime/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Matt Horton', '/name/6232494/']]}, {'Сценарий': [['Ben', '/name/6232495/'], ['Matt Horton', '/name/6232494/']]}, {'Продюсер': [['Ben', '/name/6232495/'], ['Matt Horton', '/name/6232494/']]}, {'Композитор': [['Tony Anderson', '/name/2635588/'], ['Ross Bugden', '/name/3749663/'], ['Грег Домбровски', '/name/4371695/'], ['...', '/film/4413069/cast/who_is/composer/']]}, {'Монтаж': [['Matt Horton', '/name/6232494/']]}, {'Премьера в мире': [['11 декабря 2020', '/film/4413069/dates/']]}, {'Время': '76 мин. / 01:16'}], [{'actor_name': 'Leah Ashley', 'link': '/name/4241173/'}, {'actor_name': 'Tom Aglio', 'link': '/name/6033205/'}, {'actor_name': 'Gen Sherard', 'link': '/name/6395060/'}, {'actor_name': 'Грэхэм Роуэт', 'link': '/name/559987/'}, {'actor_name': 'Denis Kopotun', 'link': '/name/6256673/'}, {'actor_name': 'Lucas Webley', 'link': '/name/5109014/'}, {'actor_name': 'Forrest Starling', 'link': '/name/6395061/'}, {'actor_name': 'Carl G. Brooks', 'link': '/name/5323640/'}, {'actor_name': 'Flamingo', 'link': '/name/6395062/'}, {'actor_name': 'Megan Elizabeth Leeds', 'link': '/name/6395064/'}], ['none', 'none', 'none']]"
243001,Gojira to hiroin,https://www.kinopoisk.ru/film/4295420/,2020,film,"[[{'name': 'Gojira to hiroin (ТВ, 2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=films&b=top']]}, {'Страна': [['Япония', '/lists/movies/country--9/?b=films&b=top']]}, {'Жанр': [['документальный', '/lists/movies/genre--documentary/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Такэси Яги', '/name/1096425/']]}, {'Сценарий': [['Юдзи Кобаяси', '/name/1178616/']]}, {'Продюсер': '—'}, {'Композитор': '—'}, {'Премьера в мире': [['19 декабря 2020', '/film/4295420/dates/']]}, {'Время': '90 мин. / 01:30'}], [{'actor_name': 'Мэгуми Хан', 'link': '/name/2979779/'}, {'actor_name': 'Кейко Мари', 'link': '/name/181598/'}, {'actor_name': 'Куми Мидзуно', 'link': '/name/193424/'}, {'actor_name': 'Мэгуми Одака', 'link': '/name/453279/'}, {'actor_name': 'Сиро Сано', 'link': '/name/62013/'}, {'actor_name': 'Юмико Сяку', 'link': '/name/241013/'}, {'actor_name': 'Муга Цукадзи', 'link': '/name/1156095/'}], ['none', 'none', 'none']]"
243002,Kikenna Venus,https://www.kinopoisk.ru/series/4296619/,2020,series,"[[{'name': 'Kikenna Venus (мини–сериал 2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=series&b=top'], ['1 сезон', '/film/4296619/episodes/']]}, {'Страна': [['Япония', '/lists/movies/country--9/?b=series&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=series&b=top'], ['детектив', '/lists/movies/genre--mystery/?b=series&b=top'], ['слова', '/film/4296619/keywords/']]}, {'Слоган': '—'}, {'Режиссер': [['Кэйта Коно', '/name/1155837/'], ['Юити Сато', '/name/1160095/']]}, {'Сценарий': [['Цутому Куроива', '/name/1879402/'], ['Кэйго Хигасино', '/name/716284/']]}, {'Продюсер': '—'}, {'Композитор': '—'}, {'Премьера в мире': [['11 октября 2020', '/film/4296619/dates/']]}, {'Время': '—'}], [{'actor_name': 'Сёта Сомэтани', 'link': '/name/1159401/'}, {'actor_name': 'Сатоси Цумабуки', 'link': '/name/409362/'}, {'actor_name': 'Юрико Ёситака', 'link': '/name/808086/'}, {'actor_name': 'Фумиё Кохината', 'link': '/name/19970/'}, {'actor_name': 'Маю Хотта', 'link': '/name/4346426/'}, {'actor_name': 'Дин Фудзиока', 'link': '/name/1312097/'}, {'actor_name': 'Кэйко Тода', 'link': '/name/134603/'}, {'actor_name': 'Аннэ Накамура', 'link': '/name/4259225/'}, {'actor_name': 'Юки Саито', 'link': '/name/453627/'}, {'actor_name': 'Юми Асо', 'link': '/name/389751/'}], ['none', 'none', 'none']]"
243003,Stichtag,https://www.kinopoisk.ru/series/4783650/,2020,series,"[[{'name': 'Stichtag (сериал 2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=series&b=top'], ['1 сезон', '/film/4783650/episodes/']]}, {'Страна': [['Германия', '/lists/movies/country--3/?b=series&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=series&b=top'], ['мелодрама', '/lists/movies/genre--romance/?b=series&b=top'], ['комедия', '/lists/movies/genre--comedy/?b=series&b=top']]}, {'Слоган': '—'}, {'Режиссер': '—'}, {'Сценарий': '—'}, {'Продюсер': '—'}, {'Композитор': '—'}, {'Премьера в мире': [['12 ноября 2020', '/film/4783650/dates/']]}, {'Время': '—'}], [{'actor_name': 'Rabea Babic', 'link': '/name/6675299/'}, {'actor_name': 'Бен Фелипе', 'link': '/name/5209032/'}, {'actor_name': 'Vaso Fotoglidis', 'link': '/name/6675300/'}, {'actor_name': 'Sorino Zehentmeier', 'link': '/name/6675301/'}, {'actor_name': 'Nando Nenning', 'link': '/name/6675302/'}, {'actor_name': 'Melina Celine Hecklau', 'link': '/name/6675303/'}, {'actor_name': 'Elena Huber', 'link': '/name/6675304/'}, {'actor_name': 'Vedat Kocabay', 'link': '/name/6671417/'}], ['none', 'none', 'none']]"
243004,Hide,https://www.kinopoisk.ru/film/4294341/,2020,film,"[[{'name': 'Hide (2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Дастин Браун', '/name/1714406/']]}, {'Сценарий': [['Дастин Браун', '/name/1714406/']]}, {'Продюсер': [['Дастин Браун', '/name/1714406/'], ['Daniel Leighton', '/name/3786776/'], ['Amy Ahn', '/name/4799733/'], ['...', '/film/4294341/cast/who_is/producer/']]}, {'Оператор': [['Mark Mannschreck', '/name/1755109/']]}, {'Композитор': [['Майлз Бергсма', '/name/1795448/']]}, {'Монтаж': [['Дастин Браун', '/name/1714406/']]}, {'Премьера в мире': [['11 декабря 2020', '/film/4294341/dates/']]}, {'Время': '4 мин.'}], [{'actor_name': 'Мена Сувари', 'link': '/name/298/'}, {'actor_name': 'Мантас Валантиус', 'link': '/name/2570812/'}, {'actor_name': 'Sadie Chen', 'link': '/name/3279167/'}, {'actor_name': 'Эльберт Трейстер', 'link': '/name/1087587/'}, {'actor_name': 'Дайан Гэта', 'link': '/name/885755/'}, {'actor_name': 'Ли Чен', 'link': '/name/990404/'}, {'actor_name': 'Элис Ко', 'link': '/name/1935805/'}, {'actor_name': 'Rita Khori', 'link': '/name/1649619/'}, {'actor_name': 'Gintare Bandinskaite', 'link': '/name/2570098/'}], ['none', 'none', 'none']]"
243005,First Look: WWE Icons,https://www.kinopoisk.ru/film/4368165/,2020,film,"[[{'name': 'First Look: WWE Icons (ТВ, 2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['документальный', '/lists/movies/genre--documentary/?b=films&b=top'], ['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['биография', '/lists/movies/genre--biography/?b=films&b=top'], ['слова', '/film/4368165/keywords/']]}, {'Слоган': '—'}, {'Режиссер': '—'}, {'Сценарий': '—'}, {'Продюсер': '—'}, {'Композитор': '—'}, {'Премьера в мире': [['20 декабря 2020', '/film/4368165/dates/']]}, {'Время': '12 мин.'}], [{'actor_name': 'Джеймс Е. Корнетт', 'link': '/name/60087/'}, {'actor_name': 'Джеральд Бриско', 'link': '/name/1258097/'}, {'actor_name': 'Брэт Харт', 'link': '/name/60091/'}, {'actor_name': 'Лоуренс Фоул', 'link': '/name/1228752/'}, {'actor_name': 'Даллас Пейдж', 'link': '/name/9027/'}, {'actor_name': 'Grace Kocianski-Hughes', 'link': '/name/6349658/'}, {'actor_name': 'Бет Феникс', 'link': '/name/1367813/'}, {'actor_name': 'Erik Kocianki', 'link': '/name/6349659/'}, {'actor_name': 'Эшли Флёр', 'link': '/name/2389043/'}, {'actor_name': 'Натали Нейдхарт', 'link': '/name/1616605/'}], ['none', 'none', 'none']]"
243006,Chalawa,https://www.kinopoisk.ru/series/4384933/,2020,series,"[[{'name': 'Chalawa (сериал 2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=series&b=top']]}, {'Страна': [['Пакистан', '/lists/movies/country--74/?b=series&b=top']]}, {'Жанр': [['ужасы', '/lists/movies/genre--horror/?b=series&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Шамун Аббаси', '/name/2605276/'], ['Наджаф Билграми', '/name/1183425/']]}, {'Сценарий': [['Шахид Низами', '/name/3840049/']]}, {'Продюсер': [['Muhammad Nadeem', '/name/6368322/']]}, {'Оператор': [['Shoaib Khan', '/name/6368323/']]}, {'Композитор': '—'}, {'Премьера в мире': [['8 ноября 2020', '/film/4384933/dates/']]}, {'Время': '—'}], [{'actor_name': 'Самина Ахмад', 'link': '/name/5076299/'}, {'actor_name': 'Ali Ansari', 'link': '/name/5521700/'}, {'actor_name': 'Adnan Jaffar', 'link': '/name/4169266/'}, {'actor_name': 'Fawwad Jalal', 'link': '/name/5239592/'}, {'actor_name': 'Anoushey Rania Khan', 'link': '/name/6368319/'}, {'actor_name': 'Ashir Ali Khan', 'link': '/name/6368320/'}, {'actor_name': 'Noor Khan', 'link': '/name/5096439/'}, {'actor_name': 'Usama Khan', 'link': '/name/6368321/'}, {'actor_name': 'Naveed Raza', 'link': '/name/4579689/'}, {'actor_name': 'Naveen Waqar', 'link': '/name/3732897/'}], ['none', 'none', 'none']]"
243007,Sick,https://www.kinopoisk.ru/film/4675247/,2020,film,"[[{'name': 'Sick (2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['ужасы', '/lists/movies/genre--horror/?b=films&b=top']]}, {'Слоган': '«The trust between a mother and her son is eroded by the appearance of mysteries marks on his body that he refuses to discuss»'}, {'Режиссер': [['Kristine Kennedy', '/name/4052059/']]}, {'Сценарий': [['Kristine Kennedy', '/name/4052059/']]}, {'Продюсер': [['Nic Justice', '/name/6588440/'], ['Ryan Scott', '/name/6588442/']]}, {'Оператор': [['Devon Voelkel', '/name/5777513/']]}, {'Композитор': [['Mike Kennedy', '/name/5733504/']]}, {'Премьера в мире': [['3 октября 2020', '/film/4675247/dates/']]}, {'Время': '6 мин.'}], [{'actor_name': 'Alex Kennedy', 'link': '/name/5733503/'}, {'actor_name': 'Джина Мартино', 'link': '/name/552677/'}, {'actor_name': 'Lauren Ojeda', 'link': '/name/6588438/'}], ['none', 'none', 'none']]"
243008,Творец,https://www.kinopoisk.ru/film/4640688/,2020,film,"[[{'name': 'Творец (2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=films&b=top']]}, {'Страна': [['Украина', '/lists/movies/country--62/?b=films&b=top'], ['Китай', '/lists/movies/country--31/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['фантастика', '/lists/movies/genre--sci-fi/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top'], ['слова', '/film/4640688/keywords/']]}, {'Слоган': '«Art comes with imperfection»'}, {'Режиссер': [['Сергей Пудич', '/name/5144040/']]}, {'Сценарий': [['Rouman Kang', '/name/6564006/'], ['George Muse', '/name/6564007/'], ['Сергей Пудич', '/name/5144040/'], ['...', '/film/4640688/cast/who_is/writer/']]}, {'Продюсер': [['Сергей Пудич', '/name/5144040/']]}, {'Оператор': [['Rouman Kang', '/name/6564006/']]}, {'Композитор': [['Slava Tribuhovsky', '/name/6564012/']]}, {'Художник': [['George Muse', '/name/6564007/']]}, {'Монтаж': [['Сергей Пудич', '/name/5144040/']]}, {'Премьера в мире': [['20 ноября 2020', '/film/4640688/dates/'], ['...', '/film/4640688/dates/']]}, {'Время': '5 мин.'}], [{'actor_name': 'Olga Achkasova', 'link': '/name/6564009/'}, {'actor_name': 'Xin Lei', 'link': '/name/6564010/'}, {'actor_name': 'Myra Mala', 'link': '/name/4871033/'}, {'actor_name': 'George Muse', 'link': '/name/6564007/'}, {'actor_name': 'Ronel Stander', 'link': '/name/6564011/'}], ['none', 'none', 'none']]"
243009,Ghost Tape,https://www.kinopoisk.ru/series/4292884/,2020,series,"[[{'name': 'Ghost Tape (сериал 2020)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2020', '/lists/movies/year--2020/?b=series&b=top'], ['1 сезон', '/film/4292884/episodes/']]}, {'Страна': [['США', '/lists/movies/country--1/?b=series&b=top']]}, {'Жанр': [['детектив', '/lists/movies/genre--mystery/?b=series&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Malakai', '/name/6001262/']]}, {'Сценарий': [['Арон Эли Колейт', '/name/1207516/'], ['Ниа ДаКоста', '/name/3322512/'], ['Александра И Хартман', '/name/3755663/']]}, {'Продюсер': [['Кирси Клемонс', '/name/2337900/'], ['Арон Эли Колейт', '/name/1207516/'], ['Ниа ДаКоста', '/name/3322512/'], ['...', '/film/4292884/cast/who_is/producer/']]}, {'Композитор': [['Дерон Джонсон', '/name/2640706/']]}, {'Монтаж': [['Arielle McGrail', '/name/6306564/'], ['Ben Milchev', '/name/6306565/'], ['Ryan Walsh', '/name/6187376/']]}, {'Премьера в мире': [['26 октября 2020', '/film/4292884/dates/']]}, {'Время': '—'}], [{'actor_name': 'Рауль Кастильо', 'link': '/name/886617/'}, {'actor_name': 'Кирси Клемонс', 'link': '/name/2337900/'}, {'actor_name': 'Билл Дьюк', 'link': '/name/1731/'}, {'actor_name': 'Энджел Паркер', 'link': '/name/1176478/'}, {'actor_name': 'Алан Чонг', 'link': '/name/4755470/'}, {'actor_name': 'Халли Голов', 'link': '/name/228522/'}, {'actor_name': 'Шон Патрик Томас', 'link': '/name/14846/'}, {'actor_name': 'Фернандо Мартинес', 'link': '/name/1992269/'}, {'actor_name': 'John Rubenstein', 'link': '/name/6306558/'}, {'actor_name': 'Анна Мария Хорсфорд', 'link': '/name/1932/'}], ['none', 'none', 'none']]"
