,name,links,year,type,char
317500,Mr and Mrs Bernard,https://www.kinopoisk.ru/film/4942971/,2021,film,"[[{'name': 'Mr and Mrs Bernard (2021)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2021', '/lists/movies/year--2021/?b=films&b=top']]}, {'Страна': [['Нигерия', '/lists/movies/country--110/?b=films&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Bogunmbe Abiola Paul', '/name/6575346/']]}, {'Сценарий': [['Henry Olalere', '/name/6815923/']]}, {'Продюсер': [['Temitope Aremu', '/name/6815879/'], ['Ebosele Mercy', '/name/6632524/']]}, {'Оператор': [['Quadri Kaseem', '/name/6474393/'], ['Joy Ogunyemi', '/name/5684187/']]}, {'Композитор': '—'}, {'Монтаж': [['Ajala Bolaji', '/name/6815930/']]}, {'Премьера в мире': [['17 декабря 2021', '/film/4942971/dates/']]}, {'Время': '81 мин. / 01:21'}], [{'actor_name': 'Nancy Adebayo', 'link': '/name/6815907/'}, {'actor_name': 'Temitope Aremu', 'link': '/name/6815879/'}, {'actor_name': 'Raheem Adeniran Azeez', 'link': '/name/6815926/'}, {'actor_name': 'Ogunmoroti Bunmi', 'link': '/name/6815913/'}, {'actor_name': 'Bukola Ikuomola', 'link': '/name/6815922/'}, {'actor_name': 'Oluwatobi Johnson', 'link': '/name/6815929/'}, {'actor_name': 'Akin Kolapo', 'link': '/name/6765516/'}, {'actor_name': 'Joseph Momodu', 'link': '/name/5390079/'}, {'actor_name': 'Oluwatunde Odunayo', 'link': '/name/6815932/'}, {'actor_name': 'Adetunji Opeyemi Olumide', 'link': '/name/6815933/'}], ['none', 'none', 'none']]"
317501,Knock Knock,https://www.kinopoisk.ru/film/4942978/,2021,film,"[[{'name': 'Knock Knock (2021)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2021', '/lists/movies/year--2021/?b=films&b=top']]}, {'Страна': [['Нигерия', '/lists/movies/country--110/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Korede Olayinka', '/name/6815973/']]}, {'Сценарий': [['Tierny Olalere', '/name/6815946/']]}, {'Продюсер': [['Tierny Olalere', '/name/6815946/']]}, {'Оператор': [['Abayomi Onifade', '/name/6815950/']]}, {'Композитор': '—'}, {'Монтаж': [['Julius Abidemi Emmanuel', '/name/6815981/']]}, {'Премьера в мире': [['16 октября 2021', '/film/4942978/dates/']]}, {'Время': '18 мин.'}], [{'actor_name': 'Eyitayo Abiodun', 'link': '/name/6815974/'}, {'actor_name': 'Olatubosun Amosun', 'link': '/name/6815975/'}, {'actor_name': 'Otega Igho', 'link': '/name/6815971/'}, {'actor_name': 'Bukola Ikuomola', 'link': '/name/6815922/'}, {'actor_name': 'Omobolanle Ishola', 'link': '/name/6815976/'}, {'actor_name': 'Endurance Ogunwehinmi', 'link': '/name/6815977/'}, {'actor_name': 'Emmanuella Okudiri', 'link': '/name/6815978/'}, {'actor_name': 'Tierny Olalere', 'link': '/name/6815946/'}, {'actor_name': 'Anifowose Oyindamola', 'link': '/name/6815979/'}, {'actor_name': 'Oluwole Temitope', 'link': '/name/6815980/'}], ['none', 'none', 'none']]"
317502,Money and Problems,https://www.kinopoisk.ru/film/5201669/,2021,film,"[[{'name': 'Money and Problems (2021)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2021', '/lists/movies/year--2021/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['комедия', '/lists/movies/genre--comedy/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['ЛаМарр Вудли', '/name/2432729/']]}, {'Сценарий': [['ЛаМарр Вудли', '/name/2432729/']]}, {'Продюсер': [['ЛаМарр Вудли', '/name/2432729/']]}, {'Оператор': [['Rodney Sizemore', '/name/4584253/']]}, {'Композитор': '—'}, {'Монтаж': [['ЛаМарр Вудли', '/name/2432729/']]}, {'Время': '—'}], [{'actor_name': 'Brian Taylor', 'link': '/name/5593146/'}], ['none', 'none', 'none']]"
317503,Enemy Within,https://www.kinopoisk.ru/film/4942972/,2021,film,"[[{'name': 'Enemy Within (2021)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2021', '/lists/movies/year--2021/?b=films&b=top']]}, {'Страна': [['Нигерия', '/lists/movies/country--110/?b=films&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Bogunmbe Abiola Paul', '/name/6575346/']]}, {'Сценарий': [['Adedayo Yemi', '/name/6815925/'], ['Bukola Ikuomola', '/name/6815922/']]}, {'Продюсер': [['Bukola Ikuomola', '/name/6815922/']]}, {'Оператор': [['Quadri Kaseem', '/name/6474393/'], ['Joy Ogunyemi', '/name/5684187/']]}, {'Композитор': '—'}, {'Премьера в мире': [['12 марта 2021', '/film/4942972/dates/']]}, {'Время': '—'}], [{'actor_name': 'Akinola Akano', 'link': '/name/6815928/'}, {'actor_name': 'Temitope Aremu', 'link': '/name/6815879/'}, {'actor_name': 'Folaranmi Babalola', 'link': '/name/6815931/'}, {'actor_name': 'Abiodun Babalola Ibrahim', 'link': '/name/6815967/'}, {'actor_name': 'Bukola Ikuomola', 'link': '/name/6815922/'}, {'actor_name': 'Ayo Mogaji', 'link': '/name/1319525/'}, {'actor_name': 'Adebimpe Oyebade', 'link': '/name/6587081/'}, {'actor_name': 'Belinda Rita', 'link': '/name/7023837/'}, {'actor_name': 'Ротими Салами', 'link': '/name/4796599/'}], ['none', 'none', 'none']]"
317504,Avenged,https://www.kinopoisk.ru/film/4995930/,2021,film,"[[{'name': 'Avenged (2021)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2021', '/lists/movies/year--2021/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Boa Banx', '/name/6861426/']]}, {'Сценарий': [['Boa Banx', '/name/6861426/']]}, {'Продюсер': [['Boa Banx', '/name/6861426/']]}, {'Композитор': '—'}, {'Монтаж': [['Boa Banx', '/name/6861426/']]}, {'Премьера в мире': [['1 декабря 2021', '/film/4995930/dates/']]}, {'Время': '63 мин. / 01:03'}], [{'actor_name': 'Boa Banx', 'link': '/name/6861426/'}, {'actor_name': 'Amber Barnes', 'link': '/name/5429902/'}, {'actor_name': 'Ланден Де’Леон', 'link': '/name/230227/'}, {'actor_name': 'Daniel Charles DesVerges', 'link': '/name/6382802/'}, {'actor_name': 'Greg Holcombe', 'link': '/name/6612023/'}, {'actor_name': 'Эшли Стиннет', 'link': '/name/1107902/'}, {'actor_name': 'Джамал Вулард', 'link': '/name/1566079/'}, {'actor_name': 'Dechanta Wooten', 'link': '/name/6916569/'}], ['none', 'none', 'none']]"
317505,Sail Silver Soul,https://www.kinopoisk.ru/film/4959037/,2021,film,"[[{'name': 'Sail Silver Soul (2021)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2021', '/lists/movies/year--2021/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Jay San', '/name/6195457/']]}, {'Сценарий': [['Jay San', '/name/6195457/']]}, {'Продюсер': [['Jay San', '/name/6195457/']]}, {'Оператор': [['Jay San', '/name/6195457/']]}, {'Композитор': '—'}, {'Монтаж': [['Jay San', '/name/6195457/']]}, {'Премьера в мире': [['28 августа 2021', '/film/4959037/dates/']]}, {'Время': '6 мин.'}], [{'actor_name': 'Sherry Kear', 'link': '/name/6827556/'}, {'actor_name': 'Jenna-mae White', 'link': '/name/6300496/'}], ['none', 'none', 'none']]"
317506,Gangnam Girls,https://www.kinopoisk.ru/film/5109925/,2021,film,"[[{'name': 'Gangnam Girls (2021)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2021', '/lists/movies/year--2021/?b=films&b=top']]}, {'Страна': [['Бутан', '/lists/movies/country--114/?b=films&b=top']]}, {'Жанр': [['драма', '/lists/movies/genre--drama/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Charmi Chheda', '/name/6966644/']]}, {'Сценарий': '—'}, {'Продюсер': [['Samuh Mediatech', '/name/6966649/']]}, {'Оператор': [['Джигме Тензинг', '/name/1973134/']]}, {'Композитор': '—'}, {'Монтаж': [['Stray Rochhi', '/name/6966650/'], ['Thukji Yonten', '/name/6966651/']]}, {'Премьера в мире': [['30 ноября 2021', '/film/5109925/dates/']]}, {'Время': '90 мин. / 01:30'}], [{'actor_name': 'Sadon Lhamo', 'link': '/name/4465772/'}, {'actor_name': 'Yangday La', 'link': '/name/6966645/'}, {'actor_name': 'Jurmey Choden Rinzin', 'link': '/name/6966646/'}, {'actor_name': 'Kelly Choden', 'link': '/name/6966647/'}, {'actor_name': 'Tshering Phuntsho', 'link': '/name/2654672/'}, {'actor_name': 'Tandin Wangchuk', 'link': '/name/5974237/'}, {'actor_name': 'Tenzy Yogi', 'link': '/name/6966648/'}], ['none', 'none', 'none']]"
317507,Turn Table,https://www.kinopoisk.ru/film/4935384/,2021,film,"[[{'name': 'Turn Table (2021)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2021', '/lists/movies/year--2021/?b=films&b=top']]}, {'Страна': [['Великобритания', '/lists/movies/country--11/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['ужасы', '/lists/movies/genre--horror/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Suran Kainth', '/name/6807680/']]}, {'Сценарий': '—'}, {'Продюсер': [['Terry Adlam', '/name/5147446/'], ['Amanda Dorsett', '/name/4672225/']]}, {'Оператор': [['Leon Thompson', '/name/6807683/']]}, {'Композитор': '—'}, {'Художник': [['Sarah Nesfield', '/name/6807685/'], ['Charlotte Newall', '/name/6807682/']]}, {'Монтаж': [['William Shambrooke', '/name/6807684/']]}, {'Премьера в мире': [['11 декабря 2021', '/film/4935384/dates/']]}, {'Время': '3 мин.'}], [{'actor_name': 'Шираз Кхан', 'link': '/name/2426859/'}, {'actor_name': 'Charlotte Newall', 'link': '/name/6807682/'}], ['none', 'none', 'none']]"
317508,Last First Date,https://www.kinopoisk.ru/film/5120518/,2021,film,"[[{'name': 'Last First Date (2021)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2021', '/lists/movies/year--2021/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['короткометражка', '/lists/movies/genre--short/?b=films&b=top'], ['триллер', '/lists/movies/genre--thriller/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['R.L. Bell', '/name/6976474/']]}, {'Сценарий': [['R.L. Bell', '/name/6976474/']]}, {'Продюсер': [['R.L. Bell', '/name/6976474/']]}, {'Композитор': '—'}, {'Художник': [['Sheri Lynn Cox Younkin', '/name/6522863/']]}, {'Монтаж': [['R.L. Bell', '/name/6976474/']]}, {'Премьера в мире': [['18 сентября 2021', '/film/5120518/dates/']]}, {'Время': '—'}], [{'actor_name': 'R.L. Bell', 'link': '/name/6976474/'}, {'actor_name': 'Brittany Cassady', 'link': '/name/6119699/'}, {'actor_name': 'Amiti Little', 'link': '/name/6977032/'}, {'actor_name': 'Sheri Lynn Cox Younkin', 'link': '/name/6522863/'}], ['none', 'none', 'none']]"
317509,Spanky,https://www.kinopoisk.ru/film/5017689/,2021,film,"[[{'name': 'Spanky (ТВ, 2021)', 'description': 'none', 'rating': '–', 'grades': ''}], [{'Год производства': [['2021', '/lists/movies/year--2021/?b=films&b=top']]}, {'Страна': [['США', '/lists/movies/country--1/?b=films&b=top']]}, {'Жанр': [['комедия', '/lists/movies/genre--comedy/?b=films&b=top']]}, {'Слоган': '—'}, {'Режиссер': [['Александр Мартинез', '/name/2990242/']]}, {'Сценарий': [['Александр Мартинез', '/name/2990242/']]}, {'Продюсер': [['Kirk Liens', '/name/3489330/'], ['Sundee Manusakis', '/name/3437721/'], ['Александр Мартинез', '/name/2990242/'], ['...', '/film/5017689/cast/who_is/producer/']]}, {'Оператор': [['John Geronilla', '/name/3818946/'], ['Александр Мартинез', '/name/2990242/']]}, {'Композитор': [['Ник Сена', '/name/2361238/']]}, {'Премьера в мире': [['28 августа 2021', '/film/5017689/dates/']]}, {'Время': '106 мин. / 01:46'}], [{'actor_name': 'Kelli Anderson', 'link': '/name/3187472/'}, {'actor_name': 'David Baptiste', 'link': '/name/2720268/'}, {'actor_name': 'Michael Geretz', 'link': '/name/2426902/'}, {'actor_name': 'Лоуренс Дж. Хьюз', 'link': '/name/3771585/'}, {'actor_name': 'Evan Marshall', 'link': '/name/4515766/'}, {'actor_name': 'Джессика Нилсон', 'link': '/name/4381087/'}, {'actor_name': 'Джордана Оберман', 'link': '/name/1701229/'}, {'actor_name': 'Стив Су', 'link': '/name/1968149/'}, {'actor_name': 'Spencer Valenzuela', 'link': '/name/4338994/'}, {'actor_name': 'Guilherme Vasconcelos', 'link': '/name/5557363/'}], ['none', 'none', 'none']]"
